#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7760.098614806203     All      0.12489813287076926       -0.0029015677851518262     0.12535418713239274       -0.036034585348137874     
Zeropoint     AB|SDSS|SDSS_r            5382.344454427379     All      0.7016360968413722        0.39037744903431815        -0.26385387753830847      -0.11316176841361639      
Zeropoint     AB|SDSS|SDSS_g            4119.0327558433355    All      -0.7578175145265307       0.577367850888777          -0.17108306318250766      0.4272791484557994        
Zeropoint     AB|SDSS|SDSS_u            3132.4690074403693    All      -0.08872601374861921      0.051780888595054364       0.0703751028126315        0.048908238250489934      
Zeropoint     AB|SDSS|SDSS_i            6527.03338899522      All      1.0125311843419624        -0.015918682772309012      0.24365451517367737       -0.3241267747672566       
Check         All|All|All               All                   All      0.9925218857789541        1.0007059379606886         0.004446864397885497      0.002864258177278478      
Lambda        AB|SDSS|SDSS_z            7760.098614806203     All      7.485718922286993e-07     5.732247636020701e-07      6.201881438528194e-06     2.1964515584747013e-07    
Lambda        AB|SDSS|SDSS_r            5382.344454427379     All      7.291189672475434e-05     6.462698699635307e-05      -0.0014256246789695953    -6.631774942906706e-05    
Lambda        AB|SDSS|SDSS_g            4119.0327558433355    All      -0.0006419170946721557    0.00034400164226023504     -0.000899543496831196     0.00028100367357215535    
Lambda        AB|SDSS|SDSS_u            3132.4690074403693    All      -7.01108013414792e-05     4.045655045837035e-05      5.216427609552271e-05     3.834327609932774e-05     
Lambda        AB|SDSS|SDSS_i            6527.03338899522      All      -0.0002880339503685249    -2.1732262292945198e-05    -0.0004111244961554152    6.839662283462144e-05     
MWEBV         All|All|All               All                   All      -0.7568653363788873       -3.3644914711597806        0.16285866117998576       -0.8421219863841157       
Redshift      All|All|All               All                   All      5.370805711059017         -0.5666766296430481        5.457798155885753         -1.6904768707966504       
