#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6144.648645137702    All      1.1289329547545173         -0.03797708945265654      0.09240084474895725        -0.37597756627901197      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5308.215980458494    All      0.5578867073511716         0.1699343356266425        -0.4863497719211453        -0.14807240732173488      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4345.367438460477    All      -0.45176146985324983       0.34485463810458583       0.253438165896072          0.2707938555979145        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7512.773851604538    All      0.347776277878611          -0.0025921286651353626    0.5664997222662157         -0.08884623602386801      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4746.90686042983     All      -0.30043203134298635       0.39348064403608163       -0.5401747082801487        0.20192467112204807       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3551.139144446247    All      -0.2878118882217399        0.13061768079625224       0.12027603898144448        0.14166364376496746       
Check         All|All|All                              All                  All      0.9945905505663241         0.9983180804457703        0.006090291691395439       0.0014859608603151053     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6144.648645137702    All      -0.00019085476636032       3.307025766678445e-06     -0.00011962542883363724    5.79065499598665e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5308.215980458494    All      0.00015919755979566233     3.118897130650025e-05     -0.0003413750473485836     -5.693060911267688e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4345.367438460477    All      -0.00021850529965272534    3.5914596373613527e-05    -0.0008470899861253057     4.507119476455113e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7512.773851604538    All      -9.322556068086395e-05     3.7473496907826226e-06    -0.00012105919932794874    2.6184951160820064e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4746.90686042983     All      -0.0001706941617434138     -0.0001615652494084848    -0.0021604620429954238     -9.3437911255845e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3551.139144446247    All      -0.0004022363612811968     0.00014565677863029436    -3.0107535889600424e-05    0.0001771232597702332     
MWEBV         All|All|All                              All                  All      -1.0578749688725724        -3.952464133226208        0.19853792207855667        -0.9340030843742259       
Redshift      All|All|All                              All                  All      5.547761319135146          1.1645382681298777        10.700003831099938         -0.9502679238255953       
