#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6144.648645137702    All      1.1542894687144976         -0.061023156397155276      -0.06034826079872602       -0.3985603703065402        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5308.215980458494    All      0.5698396965010276         0.16580472262415213        -0.5944649923555589        -0.15813572567738993       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4345.367438460477    All      -0.46515015648375535       0.36314521548499457        0.4164216069704185         0.288386036522377          
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7512.773851604538    All      0.38305704762873066        0.0019411312345951615      0.757635017056546          -0.09033222119133183       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4746.90686042983     All      -0.3224046342749326        0.3756084191344655         -0.6907714513613161        0.1965398581670677         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3551.139144446247    All      -0.3328744562077792        0.15578226539423312        0.18362505346873892        0.16736591333134515        
Check         All|All|All                              All                  All      0.9867569658777887         1.0012585974752852         0.012096972980102372       0.005263490845527907       
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6144.648645137702    All      -0.00015722911101546152    6.983294016063958e-07      -0.00017313716660884545    4.371584644679352e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5308.215980458494    All      0.00020381627811841957     5.874122958899786e-05      -0.00021574838785740424    -5.6883575786933585e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4345.367438460477    All      -0.0002369823756893409     7.722276006117504e-05      -0.0006319710732516865     7.414498329479964e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7512.773851604538    All      -9.486715850831244e-05     3.5297620575555778e-06     -0.00015187071598083698    2.52738216535809e-05       
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4746.90686042983     All      -0.00020577831049420865    -0.00011955391705008654    -0.002375273681002679      -7.791143350268565e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3551.139144446247    All      -0.00046774447783622585    0.00022210904649028686     0.000534425737382417       0.0002485569545107179      
MWEBV         All|All|All                              All                  All      -1.0430491068270205        -3.961427330303824         0.18773326528833678        -0.9422341257759939        
Redshift      All|All|All                              All                  All      5.4931976162390965         0.48567354626971593        9.9188983322684            -1.1884804555207198        
