#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                5309.504006040597     All      0.33049351013942313        0.4985496120387012        0.46578283754761823       0.0755271500466781        
Zeropoint     AB|PS|PS_g                4180.935301312263     All      -0.865138625767124         0.6842905120269194        -0.11654110692693419      0.49949935053584804       
Zeropoint     AB|PS|PS_z                7390.7413947916775    All      0.3896633348249639         -0.02904953991187398      0.19386797259250912       -0.12773712133278964      
Zeropoint     AB|PS|PS_i                6430.959266177393     All      1.1414660477457101         -0.15489025222450437      -0.5414841647661089       -0.44642984708246625      
Check         All|All|All               All                   All      0.9964842669429731         0.9989003319292422        0.0016255384470842404     0.0008595321672702494     
Lambda        AB|PS|PS_r                5309.504006040597     All      9.924716782509695e-05      0.00011428578466233956    0.00024086000437926862    1.5647048025147374e-05    
Lambda        AB|PS|PS_g                4180.935301312263     All      -0.0007301901066797108     0.00032758240139995736    -0.001527951238720599     0.0002763658594055199     
Lambda        AB|PS|PS_z                7390.7413947916775    All      -0.00012588764758496353    4.7183122521710014e-05    0.00019114709312737107    6.490486054238547e-05     
Lambda        AB|PS|PS_i                6430.959266177393     All      -0.0005026890379691183     0.00011045764727932521    0.0002822945117386316     0.00021231955483929513    
MWEBV         All|All|All               All                   All      -0.5507359080256511        -3.3672350382556004       0.058303516138404586      -0.9148246086381068       
Redshift      All|All|All               All                   All      7.374348152843904          -0.9281384179860908       -6.425538073457722        -2.991135272603812        
