#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                5309.504006040597     All      0.3065262808672569        0.5066199997710186        0.4210438175682704        0.08396635892853899       
Zeropoint     AB|PS|PS_g                4180.935301312263     All      -0.8700447799872391       0.6757089066768529        -0.2183293468325696       0.49375979353356025       
Zeropoint     AB|PS|PS_z                7390.7413947916775    All      0.4213201711876013        -0.02745513626187801      0.2963290913181108        -0.1329570755501297       
Zeropoint     AB|PS|PS_i                6430.959266177393     All      1.1386326834900549        -0.15608349931781618      -0.49821628810670354      -0.4439647603512995       
Check         All|All|All               All                   All      0.9964343555576741        0.9987902708681773        0.0008272739471080759     0.0008043165606700375     
Lambda        AB|PS|PS_r                5309.504006040597     All      0.0001045092732874938     0.0001376778752892635     0.00021057856093170324    2.0201258908603594e-05    
Lambda        AB|PS|PS_g                4180.935301312263     All      -0.00079922669739339      0.0003765446058427306     -0.001584325866252785     0.0003122862083255665     
Lambda        AB|PS|PS_z                7390.7413947916775    All      -0.0001362713744695037    2.7413959733649334e-05    6.576448236920885e-06     5.3611175117788663e-05    
Lambda        AB|PS|PS_i                6430.959266177393     All      -0.0004741232707214003    9.50056670188436e-05      0.00018312521966101777    0.0001935560562976558     
MWEBV         All|All|All               All                   All      -0.550516845146932        -3.3684043636242222       0.05655444331717466       -0.915354905453693        
Redshift      All|All|All               All                   All      7.496474349111423         -0.9165066290000468       -3.8097402937525295       -2.9103958952298266       
