#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     VEGAHST|UVOT|UVOT_b       4270.029428286847     All      0.028046865438504986       0.48501153316120593       0.11235968607836318       0.1538625227086113         
Zeropoint     VEGAHST|UVOT|UVOT_v       5305.116644974246     All      1.7962083751386055         0.3667002110953277        0.08056053520726776       -0.46204279176543395       
Zeropoint     VEGAHST|UVOT|UVOT_u       3406.5573789449622    All      -0.8342757576451838        0.14743948819315733       -0.19020577964735733      0.3112889426796916         
Check         All|All|All               All                   All      0.9899794829319267         0.999151232449691         0.0027144416382736125     0.003108673622868985       
Lambda        VEGAHST|UVOT|UVOT_b       4270.029428286847     All      -0.00018099641757802175    2.429299486338982e-05     -0.0017461929941093182    -1.1055057899532601e-05    
Lambda        VEGAHST|UVOT|UVOT_v       5305.116644974246     All      0.0008185607172164352      0.00013087505987145284    -0.00094415496745118      -0.00026613514263380914    
Lambda        VEGAHST|UVOT|UVOT_u       3406.5573789449622    All      -0.0004413665783396038     1.2477402564933224e-05    -0.0012347750028225823    9.272957834457437e-05      
MWEBV         All|All|All               All                   All      -1.6667741807056164        -3.8475199210705746       0.002021179623546323      -0.7102504360770465        
Redshift      All|All|All               All                   All      -1.2071078927055146        -0.48648237000668004      -2.696149875833519        0.11441465462854804        
