#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     VEGAHST|UVOT|UVOT_b       4270.029428286847     All      -0.14046712948854134       0.4721955626736829        0.060270931278394446      0.2022540096896952        
Zeropoint     VEGAHST|UVOT|UVOT_v       5305.116644974246     All      2.2468868404946223         0.3417946869666899        0.017621712446797         -0.6197648139813424       
Zeropoint     VEGAHST|UVOT|UVOT_u       3406.5573789449622    All      -0.9061534598332426        0.16007757388045718       -0.07518271630034823      0.3439514663128834        
Check         All|All|All               All                   All      1.2002662511728384         0.97406782352083          0.002709927424843217      -0.0735593379787638       
Lambda        VEGAHST|UVOT|UVOT_b       4270.029428286847     All      6.0577493159505094e-05     -1.309625397714578e-05    -0.0016359238834122631    -9.700173262675276e-05    
Lambda        VEGAHST|UVOT|UVOT_v       5305.116644974246     All      0.0007770900665808262      4.0147920508619124e-05    -0.001590810601812556     -0.0003110368724822564    
Lambda        VEGAHST|UVOT|UVOT_u       3406.5573789449622    All      -0.00027581203533359034    4.106322698568358e-05     -0.0004157460170530548    8.466386253518093e-05     
MWEBV         All|All|All               All                   All      -1.490740770857601         -3.874020448964899        0.007324919104090277      -0.77598572123454         
Redshift      All|All|All               All                   All      -1.4179017413986759        -0.49762096490093555      -6.837344063502304        -0.005353537525105978     
