#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_g                3843.583836812321     All      -0.6741508795882643       0.4318544028908633        0.2082086839024888         0.3695537042911298         
Zeropoint     AB|PS|PS_z                6794.3969757592295    All      0.7909657361259117        -0.044021781511816016     0.9135680902791932         -0.23121455676530234       
Zeropoint     AB|PS|PS_r                4881.09054753912      All      -0.0952854846243123       0.52426681851383          -0.1578758104093081        0.19476329547624335        
Zeropoint     AB|PS|PS_i                5912.0577835585445    All      0.9743420726430425        0.08630487777043783       -0.9648130040867842        -0.33231810307247367       
Check         All|All|All               All                   All      0.9958714445563777        0.998404317663315         -0.0009120403144102784     0.0007843399295971443      
Lambda        AB|PS|PS_g                3843.583836812321     All      -0.0008754531867265271    0.000500173847248325      -1.3188883163163559e-05    0.0004474984224695436      
Lambda        AB|PS|PS_z                6794.3969757592295    All      -0.000850714031028924     3.663580218504096e-05     -0.0011913882367057982     0.00023587284846425755     
Lambda        AB|PS|PS_r                4881.09054753912      All      -0.0001968941721895283    -8.283352097011744e-05    -0.0013254480184280491     -2.1995350913756327e-05    
Lambda        AB|PS|PS_i                5912.0577835585445    All      -0.0002031177699192783    2.1124843483799225e-05    0.0008415625577672221      0.00011059826834436057     
MWEBV         All|All|All               All                   All      -0.480042463109986        -2.978926758226308        0.06161711019860294        -0.8112191371397764        
Redshift      All|All|All               All                   All      6.86212951709696          0.869771783006712         11.601318693717383         -1.43419448633582          
