#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                    
Zeropoint     AB|PS|PS_g                3843.583836812321     All      -0.6589544019952276        0.4482634063061042         0.2818921616883852        0.37323681903994804      
Zeropoint     AB|PS|PS_z                6794.3969757592295    All      0.8519549709875065         -0.030801346837350252      1.1392984347225756        -0.23670111800256155     
Zeropoint     AB|PS|PS_r                4881.09054753912      All      -0.12011911707582618       0.5152748087079217         -0.16327254835549154      0.19968260151760445      
Zeropoint     AB|PS|PS_i                5912.0577835585445    All      0.9224225980008762         0.06604279778485989        -1.2584622819082014       -0.33511046672229317     
Check         All|All|All               All                   All      0.9953040499173289         0.9987796659615356         -0.0005442338527321677    0.001107835832697801     
Lambda        AB|PS|PS_g                3843.583836812321     All      -0.0009225749662397963     0.0005884761065474395      0.00021678232310230581    0.0005018730459453589    
Lambda        AB|PS|PS_z                6794.3969757592295    All      -0.0008494724750626695     5.0959840845445745e-05     -0.0010391023855595989    0.0002469300615916776    
Lambda        AB|PS|PS_r                4881.09054753912      All      -0.00019760620725917867    -4.3896926835977494e-05    -0.001306603482864336     -8.23954290853839e-06    
Lambda        AB|PS|PS_i                5912.0577835585445    All      -0.00014719031197309287    1.555547734986031e-05      0.0008690204545543426     9.179204938009712e-05    
MWEBV         All|All|All               All                   All      -0.47781486308998566       -2.981457953086597         0.04315564611206201       -0.8135930835437326      
Redshift      All|All|All               All                   All      6.585182373852364          0.3840594005886544         10.381919340211262        -1.5566123855552987      
