#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     VEGAHST|UVOT|UVOT_b       4263.002537580273     All      -0.21869581769462787       0.4451523084566311        -0.5621041275112759       0.19115304908215447        
Zeropoint     VEGAHST|UVOT|UVOT_u       3400.9514441874767    All      -0.671604914966723         0.1599271406086622        0.10020279082927352       0.27532893743289766        
Zeropoint     VEGAHST|UVOT|UVOT_v       5296.38638316319      All      1.8860767162769576         0.3936125199932583        0.4687947576076157        -0.4652245324076404        
Check         All|All|All               All                   All      0.9957759836156066         0.9986919690585516        0.006893420925613292      0.0012574541074117374      
Lambda        VEGAHST|UVOT|UVOT_b       4263.002537580273     All      -0.00047726786853519794    6.799686187383759e-05     -0.002782830977014752     5.342569594723599e-05      
Lambda        VEGAHST|UVOT|UVOT_u       3400.9514441874767    All      -0.0006960352686633832     8.29308246745767e-05      -0.0001344418410807452    0.00024773536192504816     
Lambda        VEGAHST|UVOT|UVOT_v       5296.38638316319      All      0.001371743216236324       0.00022446947181474513    7.075644104913855e-05     -0.00037054726775174166    
MWEBV         All|All|All               All                   All      -1.564066038798142         -3.8178305687990743       0.12891665315313272       -0.7283722959345124        
Redshift      All|All|All               All                   All      -0.3354726694312813        -1.1632228595876093       0.6500666833148094        -0.2406159786782408        
