#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                4999.131014015482     All      0.07754619980471522        0.30459845171559863        0.3244442745860665         0.08843684610070832       
Zeropoint     AB|PS|PS_g                3936.5340545187046    All      -0.7999597873444333        0.57880981689582           -0.23110087047679972       0.4387976498322253        
Zeropoint     AB|PS|PS_z                6958.707344647706     All      0.47284807585394356        -0.018777604084618815      -0.14682716002099583       -0.1666908797594263       
Zeropoint     AB|PS|PS_i                6055.030353276248     All      1.2464274263331347         0.1339000946003921         0.053360947222855226       -0.36000549901081813      
Check         All|All|All               All                   All      0.9968619146473605         0.9985307591271919         -0.00012280868887382113    0.0005381171626891446     
Lambda        AB|PS|PS_r                4999.131014015482     All      -9.395379681571042e-06     -7.291333102687864e-05     -0.00011559019300641919    -2.584814585901858e-05    
Lambda        AB|PS|PS_g                3936.5340545187046    All      -0.0004614108974757234     0.00035485446690321183     -0.0001460345143668515     0.0002593676338471259     
Lambda        AB|PS|PS_z                6958.707344647706     All      -0.00021030040235254884    -1.0059795588868223e-06    -5.6686609879900094e-05    6.564441603912563e-05     
Lambda        AB|PS|PS_i                6055.030353276248     All      -0.00035124199032631636    -5.932032298473117e-05     -0.0011534675234003981     4.3614533106101194e-05    
MWEBV         All|All|All               All                   All      -0.5284865766566176        -3.0807598720159035        -0.013411052601247642      -0.8319578532787155       
Redshift      All|All|All               All                   All      2.583946100687594          0.15060852488382181        -7.059919651814492         -1.1076698918900187       
