#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                4999.131014015482     All      0.02335418859116617        0.2900017072864358         0.15876270268512013        0.09394071953196453        
Zeropoint     AB|PS|PS_g                3936.5340545187046    All      -0.7469548410717454        0.5846328121929645         -0.10902043882867937       0.4288768251287234         
Zeropoint     AB|PS|PS_z                6958.707344647706     All      0.4554841545393519         -0.02274208475512296       -0.08056626197718549       -0.1593693215587457        
Zeropoint     AB|PS|PS_i                6055.030353276248     All      1.2654778515286649         0.14663677730553104        0.03171100464762151        -0.36302823015843966       
Check         All|All|All               All                   All      0.9973613535874375         0.9985292120298084         0.0008870065268767879      0.00041999294350258953     
Lambda        AB|PS|PS_r                4999.131014015482     All      -9.521588544196965e-06     -5.990248169927194e-05     -3.933159710182941e-05     -1.8165902917923652e-05    
Lambda        AB|PS|PS_g                3936.5340545187046    All      -0.0005072681399240504     0.00040996859583850205     -0.0001203627118003642     0.00029340294600843734     
Lambda        AB|PS|PS_z                6958.707344647706     All      -0.00021423757716920578    -2.571824252103598e-06     -4.6849701911826295e-05    6.685581229810489e-05      
Lambda        AB|PS|PS_i                6055.030353276248     All      -0.0002859875857779815     -4.9989975911810394e-05    -0.0010097761775380394     3.181051255487287e-05      
MWEBV         All|All|All               All                   All      -0.5233335673046624        -3.0828754831699           -0.005497521098045418      -0.8339723375425635        
Redshift      All|All|All               All                   All      2.8890444281354513         -0.043038045235732625      -5.028560505251196         -1.1794772842314651        
