#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                3482.039755831533     All      -0.5645935483914395       0.2251217012160467         -0.08678187812803864      0.253363561011057         
Zeropoint     AB|PS|PS_r                4421.954108444917     All      -0.4472180112101386       0.3720494102955385         -0.15835095625329368      0.25979587638403123       
Zeropoint     AB|PS|PS_z                6155.286677996923     All      0.6253549822147297        -0.028538572555802943      -0.22109285046151825      -0.2228610017210947       
Zeropoint     AB|PS|PS_i                5355.9441175601205    All      1.3812873233518816        0.4306621542866651         0.4673507471585013        -0.28879417482231334      
Check         All|All|All               All                   All      0.9948307459650331        0.9992946932424474         0.0011250623156507378     0.0015042608516802614     
Lambda        AB|PS|PS_g                3482.039755831533     All      -0.0008490046034380558    0.00028635663076177927     -0.0005417426128463459    0.00034564902157651       
Lambda        AB|PS|PS_r                4421.954108444917     All      -9.421352874266584e-05    -0.00010243988922392836    -0.0008788939466150116    -4.190059647150461e-05    
Lambda        AB|PS|PS_z                6155.286677996923     All      -8.528572533090991e-05    -3.811579514444501e-05     -0.0006079462401514081    -1.17650503955303e-05     
Lambda        AB|PS|PS_i                5355.9441175601205    All      0.0002710448816226587     6.903953326102655e-05      -0.0005031473075325399    -8.82529412031238e-05     
MWEBV         All|All|All               All                   All      -0.45388408814652337      -2.536998510858268         0.027652901084061644      -0.677304877935905        
Redshift      All|All|All               All                   All      1.9257241958764069        -0.2417487670022922        -0.556044834530178        -0.7308309788955485       
