#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                3482.039755831533     All      -0.5205978962515878        0.23939086313937707        0.10829323169062599       0.2523859713786908         
Zeropoint     AB|PS|PS_r                4421.954108444917     All      -0.5355438211333248        0.43101873494642007        0.17742384492231422       0.3227588347993818         
Zeropoint     AB|PS|PS_z                6155.286677996923     All      0.7099848133232984         -0.0978963568190494        -0.5350786789894091       -0.287031579532214         
Zeropoint     AB|PS|PS_i                5355.9441175601205    All      1.3404589995527179         0.4269533543151738         0.25084444573414966       -0.2863648065706728        
Check         All|All|All               All                   All      0.9943020954911033         0.9994665955819215         0.0014828433576807853     0.0017484200751858303      
Lambda        AB|PS|PS_g                3482.039755831533     All      -0.000970476168769068      0.00035264982707611204     -0.0004901848698949688    0.00040911096699334506     
Lambda        AB|PS|PS_r                4421.954108444917     All      -6.64872086651572e-05      -6.0037424914111114e-05    -0.0006517685711311996    -2.6984531105514095e-05    
Lambda        AB|PS|PS_z                6155.286677996923     All      -0.00022734034224569557    -9.857735718527465e-05     -0.0015711132158472644    -2.8169226550701726e-05    
Lambda        AB|PS|PS_i                5355.9441175601205    All      0.00047501902758979094     0.00012409383017534677     -2.540340701789866e-05    -0.00011544151927553626    
MWEBV         All|All|All               All                   All      -0.4110635380383485        -2.551360540853409         0.03421654892115655       -0.6956382200693362        
Redshift      All|All|All               All                   All      1.4069983343463397         -0.617258885564631         -1.65910281032257         -0.7334053110505417        
