#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                4783.476216613695     All      -0.24326221162809325       0.43672147359110625        -0.3416536996853847       0.20624662161638496       
Zeropoint     AB|PS|PS_g                3766.7180501746675    All      -0.5672467738721848        0.4129776922029649         0.2485154854364735        0.3303814617524256        
Zeropoint     AB|PS|PS_z                6658.519448315114     All      1.0181886858147784         0.07093761524537001        1.7634045707352053        -0.2298581903513633       
Zeropoint     AB|PS|PS_i                5793.825687818082     All      0.7875392663834664         0.07886921717457085        -1.661725455347729        -0.3049923246226497       
Check         All|All|All               All                   All      0.9952189666979666         0.999505998214012          0.008540901138565093      0.0017775683947976462     
Lambda        AB|PS|PS_r                4783.476216613695     All      -0.00010468235869362825    -1.1367617445697631e-05    -0.0006778558731823245    1.4608684754141814e-07    
Lambda        AB|PS|PS_g                3766.7180501746675    All      -0.0007926345452582466     0.00047023486406402057     -0.0004945949776223863    0.0003892866115270359     
Lambda        AB|PS|PS_z                6658.519448315114     All      -0.0007229359490693208     -4.427038323654214e-05     -0.0010529610736785295    0.00017407488558267758    
Lambda        AB|PS|PS_i                5793.825687818082     All      -0.00017222048216402258    -1.5212225092499238e-05    0.0006833213679449014     8.163624901627845e-05     
MWEBV         All|All|All               All                   All      -0.4712265391562198        -2.8754794576704157        0.11139149755450273       -0.7781733821984459       
Redshift      All|All|All               All                   All      5.068998603548176          0.6370939085284633         2.8717773752178544        -1.3154629298419762       
