#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                4783.476216613695     All      -0.2515710175337703        0.4269020067647844         -0.2289830204665515        0.21078252459108704       
Zeropoint     AB|PS|PS_g                3766.7180501746675    All      -0.5569526197203305        0.4356142836119403         0.37438636050301777        0.34001883867139554       
Zeropoint     AB|PS|PS_z                6658.519448315114     All      1.01358199962174           0.04582091239235808        1.5470119202785366         -0.24619558767140795      
Zeropoint     AB|PS|PS_i                5793.825687818082     All      0.7905810464124702         0.0912116785787731         -1.6837401176180815        -0.30294519998285807      
Check         All|All|All               All                   All      0.995639408780109          0.9995488813478559         0.008675142696921379       0.0016605756082166412     
Lambda        AB|PS|PS_r                4783.476216613695     All      -7.986931025878522e-05     -3.812932064036517e-06     -0.0005762936448266209     -9.432739890874161e-07    
Lambda        AB|PS|PS_g                3766.7180501746675    All      -0.0007872189670013094     0.0005270003529335146      -0.00018402972301408924    0.00041987206771397197    
Lambda        AB|PS|PS_z                6658.519448315114     All      -0.0007762287208045823     -4.7897066364730015e-05    -0.0011895165357253073     0.00018415892151318734    
Lambda        AB|PS|PS_i                5793.825687818082     All      -0.00019365594258389854    -2.8712740726558553e-05    0.0006526713193826527      8.285315068819654e-05     
MWEBV         All|All|All               All                   All      -0.4717055094202065        -2.8778168360538814        0.08811714849670912        -0.779817354166002        
Redshift      All|All|All               All                   All      4.832706281608844          0.44441669375565596        1.668097871001276          -1.3549707425166166       
