#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            6435.496406286547     All      1.076175861167858          0.03391273683828189       0.3821377191477848        -0.3224463377219315        
Zeropoint     AB|SDSS|SDSS_g            4061.2662626025017    All      -0.9307421460627421        0.4646639997750057        -1.2094883350920238       0.40055577978180473        
Zeropoint     AB|SDSS|SDSS_u            3088.5383663235384    All      -0.08076953593664614       0.055622834415558486      0.15063454678924115       0.0511496101831696         
Zeropoint     AB|SDSS|SDSS_z            7651.268772765137     All      0.11194444390013886        0.007279765189949217      0.17144686079132165       -0.026441843251393676      
Zeropoint     AB|SDSS|SDSS_r            5306.860916670744     All      0.8182517573268966         0.4404517065871971        0.5276521116657829        -0.09951521545325318       
Check         All|All|All               All                   All      0.9948603803955054         1.0019310428059924        0.022382903302106683      0.0033019935383959975      
Lambda        AB|SDSS|SDSS_i            6435.496406286547     All      -0.00033662497930248334    -6.705188877018106e-05    -0.0010588444054078303    4.055746156072623e-05      
Lambda        AB|SDSS|SDSS_g            4061.2662626025017    All      -0.0008709716508648662     0.0002557858958420406     -0.0017859698153026387    0.0002873223719903731      
Lambda        AB|SDSS|SDSS_u            3088.5383663235384    All      -4.361637515366785e-05     4.351680058539543e-05     0.00018016543381934688    3.642209777599798e-05      
Lambda        AB|SDSS|SDSS_z            7651.268772765137     All      -3.5142545422122254e-06    -2.654973939189644e-06    -2.840699933042175e-05    -9.877779495912701e-07     
Lambda        AB|SDSS|SDSS_r            5306.860916670744     All      0.0002487675022336455      5.074960498714259e-05     -0.0014655653504120902    -0.00012990239421920499    
MWEBV         All|All|All               All                   All      -0.6824982777043478        -3.234597451851684        0.8044986591584757        -0.7954015823591614        
Redshift      All|All|All               All                   All      7.990454120285079          0.5221578713960895        13.825227318127853        -1.8157133896760504        
