#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6435.496406286547     All      1.010515659809029          0.0004911821550379614     0.1333214498311343        -0.3230486772075328       
Zeropoint     AB|SDSS|SDSS_g            4061.2662626025017    All      -0.8955511474953377        0.5047813671698265        -0.9081494179069878       0.4156078320559958        
Zeropoint     AB|SDSS|SDSS_u            3088.5383663235384    All      -0.05021731381931166       0.0578164212591048        0.2699729454300131        0.04723779433300595       
Zeropoint     AB|SDSS|SDSS_z            7651.268772765137     All      0.1402227200764247         0.010414693033844458      0.2431915427766768        -0.031430223349242836     
Zeropoint     AB|SDSS|SDSS_r            5306.860916670744     All      0.7897150383850119         0.4274446275530863        0.27570679157600225       -0.10569986331791963      
Check         All|All|All               All                   All      0.9946849569558159         1.0009482911709           0.014043311706838646      0.0026668625143064922     
Lambda        AB|SDSS|SDSS_i            6435.496406286547     All      -0.00028360987733589885    -4.646643093834606e-05    -0.0007027847577817203    4.588336631317822e-05     
Lambda        AB|SDSS|SDSS_g            4061.2662626025017    All      -0.0008683480068578016     0.0003085059072439615     -0.0015892626092407086    0.0003124185461354352     
Lambda        AB|SDSS|SDSS_u            3088.5383663235384    All      -3.63162423694236e-05      4.951597565184916e-05     0.000255611639758865      3.936515070626622e-05     
Lambda        AB|SDSS|SDSS_z            7651.268772765137     All      -1.4956924277666276e-06    -4.032675811719125e-07    -5.870696444823767e-06    9.38564930468596e-08      
Lambda        AB|SDSS|SDSS_r            5306.860916670744     All      0.00014519752225242876     2.9248652046422622e-05    -0.001843529876520784     -0.0001200366329932748    
MWEBV         All|All|All               All                   All      -0.6770106736351265        -3.271940726795286        0.5733402035693376        -0.8196685489482608       
Redshift      All|All|All               All                   All      7.807983467198891          0.08179312070026867       10.650711466509087        -2.0413820441651067       
