#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     VEGAHST|UVOT|UVOT_b       4286.678232430076     All      0.14689813311095123        0.5250449138587854         2.4456846085203883        0.23231451860427604        
Zeropoint     VEGAHST|UVOT|UVOT_u       3419.8395137773396    All      -0.8761291137963855        0.13344562254262726        -1.0646972171367401       0.281339158824521          
Zeropoint     VEGAHST|UVOT|UVOT_v       5325.80124433416      All      1.7140314674669574         0.34037606374441864        -1.4046799769276912       -0.5101291728213787        
Check         All|All|All               All                   All      0.9848004867815233         0.9988666001458313         -0.023692585544043077     0.003524504607418266       
Lambda        VEGAHST|UVOT|UVOT_b       4286.678232430076     All      -8.993751213613519e-05     -2.2710000690696667e-05    -0.0010995129517193134    -2.7168000957689716e-05    
Lambda        VEGAHST|UVOT|UVOT_u       3419.8395137773396    All      -0.00036296027828151974    -7.64062744765885e-05      -0.0022028594616657197    -4.9634340206098975e-06    
Lambda        VEGAHST|UVOT|UVOT_v       5325.80124433416      All      0.0006735002927797792      0.00011072255365178254     0.000299622795240008      -0.00016994443523782267    
MWEBV         All|All|All               All                   All      -1.7085220886509611        -3.872024861635026         -0.7331423665539567       -0.737440806906175         
Redshift      All|All|All               All                   All      -1.3994113349863901        -0.4402402207881906        -1.6694212789477434       0.23793498338187583        
