#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3535.851978576407     All      -0.3410347367122468        0.11989670310728062        -0.20108647332294227       0.14116696839553236       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4326.661228961186     All      -0.5952031133277033        0.3295489347127978         -0.3031793715373765        0.2876926625862803        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6118.196777376616     All      1.094908525856795          -0.06735423941199858       0.18459003277671443        -0.37034981458579275      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7480.43239289496      All      0.4219825335678176         -0.058551181114552264      0.24811031753910404        -0.14545361601938522      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5285.3648403410725    All      0.6031968854717655         0.25834664486011905        -0.12022311799336771       -0.11769407419437716      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4726.472078915407     All      -0.3137005492573789        0.39932661129207236        0.030362060312184164       0.2336113233916028        
Check         All|All|All                              All                   All      0.8701495455990491         0.981213473445719          -0.16142655222568386       0.028973449573860333      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3535.851978576407     All      -0.0008549533768801034     0.00014098845368423478     -0.000690035448180113      0.0002936179068937012     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4326.661228961186     All      -0.0005354813462332306     0.00012546133092734967     -0.0006824192898236014     0.00018483753565301205    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6118.196777376616     All      -9.440489132747522e-05     -3.1052930205729806e-05    -0.00045712512721261887    2.3642302723668966e-07    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7480.43239289496      All      -0.00010322559357779851    -1.1581798162607081e-05    -0.0003455802793235952     1.4429738484644589e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5285.3648403410725    All      2.9390661560132266e-05     7.037568303216104e-05      -0.0013337605212741454     -4.616943646336455e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4726.472078915407     All      -0.00022876669053023833    8.72656054819905e-06       -0.0005706825404399822     5.1892424442397336e-05    
MWEBV         All|All|All                              All                   All      -1.1481879765040373        -3.9666316622887443        -0.28060819059702036       -0.9305820872627032       
Redshift      All|All|All                              All                   All      6.776281800671902          -0.4852496533115591        8.206312450325182          -1.9991096574230982       
