#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3535.851978576407     All      -0.2761983202254037        0.10780237892156208        -0.07196474294800521       0.12187020500426353        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4326.661228961186     All      -0.5179509510123332        0.32802861267056116        -0.11833974509978382       0.27028241648346063        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6118.196777376616     All      1.081246710234774          -0.05769726795454844       -0.14183269327556278       -0.3773208655270602        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7480.43239289496      All      0.373768117515188          -0.04938737266595439       0.15575368657229977        -0.13088509287320435       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5285.3648403410725    All      0.6096346424837445         0.25438342450874174        0.003099261810026461       -0.11557870329219191       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4726.472078915407     All      -0.2762638170813339        0.4150125102858837         0.17407152633212628        0.2329394548777586         
Check         All|All|All                              All                   All      0.9942363819146358         0.9981422857662459         0.0007872933911007018      0.0013074146730263358      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3535.851978576407     All      -0.0004579144782996222     0.00013385532572069081     -0.00017537326125077326    0.00018493279062832478     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4326.661228961186     All      -0.0003476191257614332     0.00010388748474047433     -0.00042892468694255483    0.00012792961836833144     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6118.196777376616     All      -0.0001464288914251392     -1.522180475480544e-05     -0.0005398651678345847     1.8646761784037673e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7480.43239289496      All      -3.819772336496292e-05     -1.00952194161807e-05      -0.00023556763425571916    -1.3583915127854449e-06    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5285.3648403410725    All      0.00015413402708228872     5.332637195604303e-05      -0.0010953599684223332     -8.171725433228187e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4726.472078915407     All      -0.00020643221618947517    -2.1623861742909404e-06    -0.0006049980361672681     3.953912021507116e-05      
MWEBV         All|All|All                              All                   All      -1.03658910657416          -3.9535123526178495        -0.020406004924933153      -0.95104849143922          
Redshift      All|All|All                              All                   All      7.231233009240619          -0.12321887254369557       10.368348577108844         -1.9328951552835192        
