#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                4594.094348592636    All      -0.20840058474998546       0.4067314938064115         0.05219842453756396       0.20269813117851573        
Zeropoint     AB|PS|PS_z                6394.903033332883    All      0.31290818495527534        -0.058250720486618945      -0.9184950938713632       -0.16188688381181468       
Zeropoint     AB|PS|PS_g                3617.590497669408    All      -0.7328677747717345        0.30446982691501034        -0.32076313057805006      0.3235807989568573         
Zeropoint     AB|PS|PS_i                5564.443229944351    All      1.6246453299246597         0.34537032090593556        1.1848552662348633        -0.3638273086464326        
Check         All|All|All               All                  All      0.9962851553582152         0.9983209211407384         -0.0022045336769860313    0.0005647376771257817      
Lambda        AB|PS|PS_r                4594.094348592636    All      -0.00023964822825645288    -0.0001442724190672472     -0.0013207615950703456    -2.7872485125547776e-05    
Lambda        AB|PS|PS_z                6394.903033332883    All      1.6049446279138856e-05     -3.666233180022631e-05     -0.0006334034020819062    -4.543584500475125e-05     
Lambda        AB|PS|PS_g                3617.590497669408    All      -0.0011820574576171736     0.0004140006451191337      -0.00103638760330869      0.000473639414033556       
Lambda        AB|PS|PS_i                5564.443229944351    All      -0.00018501549084627524    -4.7372044901962214e-05    -0.0016488357785823843    -2.8744969290382297e-05    
MWEBV         All|All|All               All                  All      -0.46970744106932294       -2.6995370183140466        0.03798879290510815       -0.7246335871715713        
Redshift      All|All|All               All                  All      4.129460050896045          0.28422858696774966        2.7896737284843542        -1.128028066164801         
