#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                4594.094348592636    All      -0.23341731644097113       0.387176282736057          -0.037524817301539413     0.20047319192401214       
Zeropoint     AB|PS|PS_z                6394.903033332883    All      0.3370564685899604         -0.04924476007328593       -0.6517141587324751       -0.15491402879791383      
Zeropoint     AB|PS|PS_g                3617.590497669408    All      -0.7361864986590207        0.3174822420179524         -0.2619786762458823       0.3315236684141001        
Zeropoint     AB|PS|PS_i                5564.443229944351    All      1.6280645367020614         0.34296374485460746        0.9478470493983889        -0.3763015459543566       
Check         All|All|All               All                  All      0.9955171901920301         0.9983775095353309         -0.0033706028815078115    0.0007812855858417844     
Lambda        AB|PS|PS_r                4594.094348592636    All      -0.0001983725426646923     -0.00013997993766303897    -0.001176401541336919     -3.347700526433374e-05    
Lambda        AB|PS|PS_z                6394.903033332883    All      0.00013636219220282357     -4.0691349153441816e-05    -0.0006572750074583559    -8.700332813617595e-05    
Lambda        AB|PS|PS_g                3617.590497669408    All      -0.0011694153826183455     0.0004730122709157453      -0.000629146485904463     0.0005069168029202539     
Lambda        AB|PS|PS_i                5564.443229944351    All      -0.00010927763025878467    -2.728797482456575e-05     -0.0014525861311363193    -3.811551939135402e-05    
MWEBV         All|All|All               All                  All      -0.4754757587187335        -2.7032251999701273        -0.013113448929974998     -0.7262364767930947       
Redshift      All|All|All               All                  All      4.264891265969545          -0.05722700520944812       2.4547076761912194        -1.2983137848667088       
