#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                3729.285182281109    All      -0.7358664407585073        0.31301828064229653        -0.5245199375042373       0.31824934526473075        
Zeropoint     AB|PS|PS_r                4735.939015553431    All      -0.13238714112334182       0.6694996679815546         1.4769909690782879        0.3271122383936879         
Zeropoint     AB|PS|PS_z                6592.348453949366    All      0.593184150841373          -0.0015299750646846633     0.569253986530669         -0.16831476539132117       
Zeropoint     AB|PS|PS_i                5736.247841883916    All      1.2700668812654345         0.01827315448714728        -1.5190029309748334       -0.47553652388333534       
Check         All|All|All               All                  All      0.9949974502249583         0.9992611280463137         0.002722087129886086      0.0015102943837621563      
Lambda        AB|PS|PS_g                3729.285182281109    All      -0.0012961194032185767     0.0005131116875333356      -0.0011972384737358912    0.0005358988338273926      
Lambda        AB|PS|PS_r                4735.939015553431    All      -0.00010005023618101715    -3.5423638413073053e-05    -0.0007304292839553779    -1.1544695157636055e-05    
Lambda        AB|PS|PS_z                6592.348453949366    All      -0.0004207093641664874     -7.035407695522192e-06     -0.0005589419093582588    0.00010980420680419667     
Lambda        AB|PS|PS_i                5736.247841883916    All      -0.0003378414341583182     3.493583741304143e-05      0.0008629343599265681     0.00015993461852811057     
MWEBV         All|All|All               All                  All      -0.46797899091473383       -2.8510018332243092        -0.0138066324424669       -0.7768450654573921        
Redshift      All|All|All               All                  All      6.80163483268275           0.33019519229249283        1.549948713901323         -2.038793702470937         
