#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_z                6075.247295858539     All      1.1912872104472294         -0.03161572636045662      -0.33406846130227874       -0.4132476599368398       
Zeropoint     AB|PS|PS_i                5286.298871065002     All      0.7378614858969765         0.3589468033764476        0.27184659314018444        -0.11129371311411199      
Zeropoint     AB|PS|PS_r                4364.453866262957     All      -0.5170377667174398        0.525893556240753         0.34254447730093973        0.3550032300809191        
Zeropoint     AB|PS|PS_g                3436.7615543085553    All      -0.4229606806189653        0.14676589395481443       -0.284442837103435         0.17288531136501925       
Check         All|All|All               All                   All      0.9891502490078009         0.9999905272115583        -0.004120227964589551      0.003347168394986527      
Lambda        AB|PS|PS_z                6075.247295858539     All      -0.00030653761856697445    -2.291034850319304e-05    -0.00039443135063919497    7.47850732984403e-05      
Lambda        AB|PS|PS_i                5286.298871065002     All      9.42325840725409e-05       4.449269240128982e-05     -0.001587717026109212      -8.705443786586748e-05    
Lambda        AB|PS|PS_r                4364.453866262957     All      -0.0001318353516623587     -8.826289194935161e-05    -0.0008733992985326505     -2.478281569575441e-05    
Lambda        AB|PS|PS_g                3436.7615543085553    All      -0.0007185158862329105     0.00022323914102824146    -0.000659094869610052      0.0002773482182816205     
MWEBV         All|All|All               All                   All      -0.42099973918034417       -2.5137196178739885       -0.06564115526280265       -0.6845969762099832       
Redshift      All|All|All               All                   All      2.212455564470579          0.20799793750754247       2.9099841169732454         -0.5230585677321505       
