#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                6075.247295858539     All      1.0385225495919668         0.04247688825618212        -0.276996471438834         -0.33680592114752606       
Zeropoint     AB|PS|PS_i                5286.298871065002     All      0.8481413051235475         0.3319948240303461         0.5528061090759928         -0.14345669190546917       
Zeropoint     AB|PS|PS_r                4364.453866262957     All      -0.3523912275956934        0.468361797384631          0.16116842584370794        0.27453846883417343        
Zeropoint     AB|PS|PS_g                3436.7615543085553    All      -0.5449363265230159        0.15633720559051767        -0.4427932187839184        0.20866803294466996        
Check         All|All|All               All                   All      0.989336300596805          0.9991707152616769         -0.005815155303051656      0.002943888725848165       
Lambda        AB|PS|PS_z                6075.247295858539     All      -0.0004619367257532065     -5.572892283060189e-05     -0.0007413032665085016     9.923428515014328e-05      
Lambda        AB|PS|PS_i                5286.298871065002     All      0.00032794471624755274     5.6131004976675696e-05     -0.0006109026659670008     -0.00011580044837405739    
Lambda        AB|PS|PS_r                4364.453866262957     All      -0.00016657446692945423    -0.00015845695842243854    -0.0010971954355444308     -4.631865347315028e-05     
Lambda        AB|PS|PS_g                3436.7615543085553    All      -0.0005247571380855089     0.00018258648551323814     -0.00019552335912379656    0.0002216797796087254      
MWEBV         All|All|All               All                   All      -0.5030603150077924        -2.4966191642793234        -0.1504274218451035        -0.6560805882945636        
Redshift      All|All|All               All                   All      2.226365604199957          0.5038354885119389         0.7197834475604403         -0.5289640988183186        
