#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                   ds/dP                      dc/dP                     
Zeropoint     VEGAHST|UVOT|UVOT_b       4330.316787964479     All      -0.13244598508507177       0.4424378347173574       0.4176251278632137         0.2058952645992474        
Zeropoint     VEGAHST|UVOT|UVOT_v       5380.018113612525     All      1.9107010568353613         0.36084211023590385      0.11882625821858506        -0.499537377597235        
Zeropoint     VEGAHST|UVOT|UVOT_u       3454.6536165508332    All      -0.8752795902767482        0.1826499664907777       -0.6620739800020203        0.31505714055610723       
Check         All|All|All               All                   All      0.9029754814735413         0.985929911444039        -0.12562259392022157       0.021415027558119637      
Lambda        VEGAHST|UVOT|UVOT_b       4330.316787964479     All      -0.0003954478459979603     -7.14411254531256e-05    -0.0033043124328851017     -4.19166393356431e-05     
Lambda        VEGAHST|UVOT|UVOT_v       5380.018113612525     All      0.0010354842563047304      0.0001492751371026151    -0.00030370469994850293    -0.0003022204114316157    
Lambda        VEGAHST|UVOT|UVOT_u       3454.6536165508332    All      -0.00036862352604488316    4.946560667014572e-05    0.0005901223671425133      0.00016251983616076654    
MWEBV         All|All|All               All                   All      -1.6510569354049336        -3.939393622600207       -0.5564227469203153        -0.7702171346981618       
Redshift      All|All|All               All                   All      1.527000034820134          -0.6219923103925495      4.864145329471503          -0.4829330407410709       
