#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     VEGAHST|UVOT|UVOT_b       4330.316787964479     All      -0.7476390495739882        0.48438374100308046        -0.8711787868874651       0.36243364715748727       
Zeropoint     VEGAHST|UVOT|UVOT_v       5380.018113612525     All      2.2805951085857448         0.3479039930115668         0.6226645963303267        -0.601754418852418        
Zeropoint     VEGAHST|UVOT|UVOT_u       3454.6536165508332    All      -0.5455457267533157        0.1695861921671593         0.2607677250023913        0.24457885903772075       
Check         All|All|All               All                   All      0.9874103322584409         1.0018739261818066         0.0122535344452529        0.005258087342790041      
Lambda        VEGAHST|UVOT|UVOT_b       4330.316787964479     All      -0.00037409382442294325    -0.00011828308222856412    -0.002865448028970137     -4.454581035000968e-05    
Lambda        VEGAHST|UVOT|UVOT_v       5380.018113612525     All      0.0005721697530642161      8.817791236481997e-05      0.0001651556529212799     -0.000150281927116997     
Lambda        VEGAHST|UVOT|UVOT_u       3454.6536165508332    All      -9.012825924404481e-05     -5.446501357830506e-05     0.00011235856950533866    1.663073931204272e-05     
MWEBV         All|All|All               All                   All      -1.4168377552083795        -3.900731645409916         0.2301508717615801        -0.7988153813583714       
Redshift      All|All|All               All                   All      -1.2311159928642228        -0.042817225964153494      -5.738861913297535        0.1309689526965169        
