#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                4797.81341093032     All      -0.18925220588872937       0.5276633280029586         -0.16415670221011264      0.22619741553384448       
Zeropoint     AB|PS|PS_i                5811.191135237764    All      0.7852032116605389         0.04573474990756665        -1.8680423928280996       -0.3242313581662612       
Zeropoint     AB|PS|PS_g                3778.007783033321    All      -0.5901215576103904        0.40200801244605344        0.3954995819026697        0.3408185709371693        
Zeropoint     AB|PS|PS_z                6678.476584688022    All      0.9884173822962631         0.02389410195107189        1.642266336398199         -0.24089016034483318      
Check         All|All|All               All                  All      0.9942468304576819         0.9993001923076505         0.005566823262656451      0.001894467959919377      
Lambda        AB|PS|PS_r                4797.81341093032     All      -0.0001472182022251968     -2.3676033590416542e-05    -0.0010700086613234189    -7.507823441865837e-06    
Lambda        AB|PS|PS_i                5811.191135237764    All      -0.00016482217023306253    5.419330226983341e-07      0.000820422969950109      9.0476237830269e-05       
Lambda        AB|PS|PS_g                3778.007783033321    All      -0.0008140782631004715     0.0005221606908676388      0.0002552762316754332     0.0004466487940415781     
Lambda        AB|PS|PS_z                6678.476584688022    All      -0.0008833369337695444     -1.915128318937232e-05     -0.0014334199247398292    0.00021752674947583565    
MWEBV         All|All|All               All                  All      -0.4764177793176114        -2.896791270725174         0.059747730210834585      -0.7857290072862144       
Redshift      All|All|All               All                  All      5.801239055841943          0.4706630509048182         6.478606411824258         -1.4472335265528342       
