#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                4797.81341093032     All      -0.165494268500616         0.537140070703046          -0.10405084547131238      0.22422780891664246        
Zeropoint     AB|PS|PS_i                5811.191135237764    All      0.8024293695098687         0.044495137657207806       -1.7276823059480833       -0.3239826409666281        
Zeropoint     AB|PS|PS_g                3778.007783033321    All      -0.5984615405050472        0.39992682788074774        0.4133247945653423        0.3436527248342824         
Zeropoint     AB|PS|PS_z                6678.476584688022    All      0.9557889332728908         0.017604150362160453       1.423919365962048         -0.24205466767880449       
Check         All|All|All               All                  All      0.9942624937770961         0.999166186603162          0.005511009107994624      0.0018432251054922577      
Lambda        AB|PS|PS_r                4797.81341093032     All      -0.00015252577643532205    -3.4527544730163486e-05    -0.0010929343817657955    -1.0336735699268864e-05    
Lambda        AB|PS|PS_i                5811.191135237764    All      -0.00018669067123184345    -9.617875335808565e-06     0.0007349145157757092     9.047429464407397e-05      
Lambda        AB|PS|PS_g                3778.007783033321    All      -0.0007706833834359033     0.0004840762978777566      0.00024865736481328364    0.0004198129447208729      
Lambda        AB|PS|PS_z                6678.476584688022    All      -0.0008474970488131525     -1.8882935564775143e-05    -0.0013632718610154706    0.00020907031540366708     
MWEBV         All|All|All               All                  All      -0.48074053382732274       -2.894631552415561         0.06413295238857641       -0.7834217602967437        
Redshift      All|All|All               All                  All      5.523393982463025          0.5734103744735819         4.852389041776753         -1.3958326740280225        
