#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_z                6451.398464733523     All      0.9263526773115407         0.038087468067793395       1.645641621710181          -0.21589977428972396      
Zeropoint     AB|PS|PS_g                3649.5499088960346    All      -0.662313587702871         0.3386311506464068         0.3909228409829324         0.3434857223335308        
Zeropoint     AB|PS|PS_r                4634.680631256521     All      -0.35768749647240905       0.6007131866962112         0.25718469363443797        0.32365960462427956       
Zeropoint     AB|PS|PS_i                5613.602008293526     All      1.0873924856898443         0.022202065987642072       -2.290543103897469         -0.4491839820638943       
Check         All|All|All               All                   All      0.9937440788261052         0.9996338713980535         0.00320605243008254        0.002061570604192098      
Lambda        AB|PS|PS_z                6451.398464733523     All      -0.00017785851290500837    -5.371257071765853e-05     -0.0011007016817643509     -8.680843066568812e-06    
Lambda        AB|PS|PS_g                3649.5499088960346    All      -0.0012699550684021203     0.0005328846581975347      -0.00012066766358236515    0.0005818593669996323     
Lambda        AB|PS|PS_r                4634.680631256521     All      -0.00013069681857269457    -0.00013127387826890018    -0.0017987483670543905     -8.045784559695673e-05    
Lambda        AB|PS|PS_i                5613.602008293526     All      9.226973375373905e-05      1.752813446116382e-05      0.00014381969661042158     -1.792778529542263e-05    
MWEBV         All|All|All               All                   All      -0.43737888897606414       -2.7672919394735374        -0.02739924849317621       -0.7601520350296542       
Redshift      All|All|All               All                   All      5.807971613055915          -0.18271764086712494       2.7148842687628516         -1.8302117619226481       
