#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                4313.192490191055     All      -0.3527264432165851       0.6818462132635261         1.0711780146560157        0.38479610569641215        
Zeropoint     AB|PS|PS_g                3396.396108389497     All      -0.4880079029810849       0.13516240659967593        -0.08681488685254868      0.19911292185080184        
Zeropoint     AB|PS|PS_z                6003.892311728654     All      1.2032241258084209        -0.013287687757213007      -1.0561186821625435       -0.4433876459354731        
Zeropoint     AB|PS|PS_i                5224.2102426222045    All      0.6219836796570617        0.19623965460038306        0.0637596459188483        -0.1358335353634516        
Check         All|All|All               All                   All      0.9844734592678127        0.9999605867063721         -0.007995908440228128     0.0046878462482892735      
Lambda        AB|PS|PS_r                4313.192490191055     All      -0.0003052981062515414    -9.683650855550087e-06     -0.0012504411527721189    4.048990796944985e-05      
Lambda        AB|PS|PS_g                3396.396108389497     All      -0.0009355530037683742    0.0001953832248592123      -0.0007532043344138288    0.000334771086258271       
Lambda        AB|PS|PS_z                6003.892311728654     All      -0.0005477109502882863    -1.1827541622469737e-06    0.00017074598517772077    0.00018564182283237364     
Lambda        AB|PS|PS_i                5224.2102426222045    All      0.0003800718709770352     4.994545132989334e-05      -0.0009221667696605328    -0.00014868510328685174    
MWEBV         All|All|All               All                   All      -0.43242874386413765      -2.4842936380613523        -0.12849666447755093      -0.6740941163617716        
Redshift      All|All|All               All                   All      1.565470632685095         -0.43247207132957044       -4.616020098254903        -0.8567874454317874        
