#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                4313.192490191055     All      -0.37546581472997753       0.6152170898596765        0.6890494352411274        0.35344712612954027       
Zeropoint     AB|PS|PS_g                3396.396108389497     All      -0.48696855042467846       0.10867950465840437       -0.4057548565163136       0.17591519209783318       
Zeropoint     AB|PS|PS_z                6003.892311728654     All      1.1714295783657096         0.020993406268488002      -0.40075874591373756      -0.3926189316897081       
Zeropoint     AB|PS|PS_i                5224.2102426222045    All      0.6768585840953366         0.25465163415070435       0.10859642860425948       -0.13268053394978785      
Check         All|All|All               All                   All      0.9858537973063901         0.9995416349372732        -0.00886773858466429      0.00406285258787753       
Lambda        AB|PS|PS_r                4313.192490191055     All      -0.00031694916649712855    7.342703762648125e-07     -0.00126626887818831      4.697218259335339e-05     
Lambda        AB|PS|PS_g                3396.396108389497     All      -0.000869085345786894      0.00017830489780326617    -0.0008043426843288162    0.00030527534066355453    
Lambda        AB|PS|PS_z                6003.892311728654     All      -0.0005453350984975406     -4.756660076411423e-06    -6.148969630595923e-05    0.0001733401791619586     
Lambda        AB|PS|PS_i                5224.2102426222045    All      0.00013775151723642565     4.995557262880556e-05     -0.0015708184566627325    -9.869644077212197e-05    
MWEBV         All|All|All               All                   All      -0.4434613396196485        -2.483945059561421        -0.14308482955202054      -0.6710378962835177       
Redshift      All|All|All               All                   All      1.831487101433808          -0.40149737940318175      -2.6989845863975335       -0.8477997945190398       
