#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            4236.614422379452     All      -0.7254088108167666        0.5965760261421593         -0.3650538049972243       0.4143232787212724         
Zeropoint     AB|SDSS|SDSS_u            3221.8882832995055    All      -0.12478503001467489       0.08745225013448987        0.18089259885031783       0.07720507042073561        
Zeropoint     AB|SDSS|SDSS_r            5535.988542332531     All      0.867209392016842          0.3201134865822297         -0.420426375275767        -0.19696883350077926       
Zeropoint     AB|SDSS|SDSS_i            6713.353699831837     All      0.8421505398971816         0.006020868945100233       0.5461306503309616        -0.24798363904128323       
Zeropoint     AB|SDSS|SDSS_z            7981.6179329808665    All      0.1341438662341322         -0.009289065367390492      0.06640536691457999       -0.04375745808932418       
Check         All|All|All               All                   All      0.9933099573167142         1.0008735664365886         0.007948435822868194      0.002818418510621319       
Lambda        AB|SDSS|SDSS_g            4236.614422379452     All      -0.0005481963303552215     0.00026451167161121124     -0.001198858180235471     0.00021122619911210854     
Lambda        AB|SDSS|SDSS_u            3221.8882832995055    All      -8.046980848968997e-05     5.619846457659996e-05      0.00011705611472300249    4.974102957112093e-05      
Lambda        AB|SDSS|SDSS_r            5535.988542332531     All      8.300200063869361e-05      -1.2157912074761608e-05    -0.000767354919888283     -6.524023997985342e-05     
Lambda        AB|SDSS|SDSS_i            6713.353699831837     All      -0.00042255112640988106    -1.5081901605166167e-05    -0.0004831443601837508    0.00011116561806499709     
Lambda        AB|SDSS|SDSS_z            7981.6179329808665    All      5.266945926275157e-06      9.70789953656122e-07       2.1821931973490013e-05    -4.2558674014687405e-07    
MWEBV         All|All|All               All                   All      -0.8189289488138725        -3.4687759736430124        0.28706291870153244       -0.850332053735189         
Redshift      All|All|All               All                   All      2.3917554815081            0.04106284227827217        -3.9396765777127922       -0.9415075994711662        
