#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            4236.614422379452     All      -0.9573795802447685       0.7384872360303163        -0.2221965203567211       0.5424840042300372        
Zeropoint     AB|SDSS|SDSS_u            3221.8882832995055    All      -0.08018401777436389      0.06242459601093486       0.18074557933837054       0.054518162265360104      
Zeropoint     AB|SDSS|SDSS_r            5535.988542332531     All      0.864040899783203         0.25628086947904194       -0.73996406000989         -0.23098863404739933      
Zeropoint     AB|SDSS|SDSS_i            6713.353699831837     All      1.0135127774810466        -0.0350050825433712       0.7528903862404568        -0.3079387221854968       
Zeropoint     AB|SDSS|SDSS_z            7981.6179329808665    All      0.15530370497976603       -0.02130867656990887      0.038350234098316616      -0.05581706823394317      
Check         All|All|All               All                   All      0.9952937842248829        1.000878942407013         0.00982561931053283       0.0022577420285579963     
Lambda        AB|SDSS|SDSS_g            4236.614422379452     All      -0.0007509347409287683    0.0004523690776492951     -0.0008827045288043812    0.0003525645922253626     
Lambda        AB|SDSS|SDSS_u            3221.8882832995055    All      -6.445800343294876e-05    3.980542400209849e-05     7.78313009756638e-05      3.743528197677954e-05     
Lambda        AB|SDSS|SDSS_r            5535.988542332531     All      0.0002209299063037079     1.1402104437211565e-05    -0.0009447737592943998    -0.000110411012016231     
Lambda        AB|SDSS|SDSS_i            6713.353699831837     All      -0.0004449604067603601    2.4054309586452923e-06    -0.0005243918264597347    0.00012232057247362271    
Lambda        AB|SDSS|SDSS_z            7981.6179329808665    All      1.0153072476035528e-05    2.6761965242442445e-06    4.313455360082082e-05     -5.105674620452215e-07    
MWEBV         All|All|All               All                   All      -0.7037673049681303       -3.5541582192614385       0.1252590065137782        -0.922876361694111        
Redshift      All|All|All               All                   All      2.209941707103931         -0.5237851935524063       -3.5883788146127693       -1.0505976541557938       
