#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                5787.617225542578     All      -0.6346935333024901       0.05917603815888128        -6.348829827211399        -0.05730296901191867       
Zeropoint     AB|PS|PS_z                6651.38441025339      All      1.6316366724576084        0.06970696447226032        2.833230848188156         -0.3823378116558862        
Zeropoint     AB|PS|PS_g                3762.6817660030297    All      -0.6420414999631467       0.4297556241461109         0.30977458549744097       0.36294340140795023        
Zeropoint     AB|PS|PS_r                4778.350409722567     All      0.6754234442901524        0.43596151753781953        3.3765256896945233        0.0726782061028719         
Check         All|All|All               All                   All      1.030325083482124         0.994600144315072          0.17070129616872132       -0.004019173156982747      
Lambda        AB|PS|PS_i                5787.617225542578     All      0.00034212619932618565    -3.306413005356524e-05     0.0032636504527727202     2.342989662870091e-05      
Lambda        AB|PS|PS_z                6651.38441025339      All      -0.0020284922862410736    -1.3718936266628821e-05    -0.005643378593034063     0.0004044398966543251      
Lambda        AB|PS|PS_g                3762.6817660030297    All      -0.0008094913699305828    0.0004665388713586788      0.0008753940062546381     0.0004547098436958134      
Lambda        AB|PS|PS_r                4778.350409722567     All      0.00012857471180454158    -6.268441563314022e-05     0.0007898488903307876     -2.7052061714125046e-05    
MWEBV         All|All|All               All                   All      -0.4764625394885176       -2.8724604777591978        0.00021141449335349005    -0.780445920027717         
Redshift      All|All|All               All                   All      4.9378764108040905        0.6680809786084652         -5.732351093498436        -1.6466213459299384        
