#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                5787.617225542578     All      -0.21164469701666117      0.029537491574416208       -3.5395919648220078       -0.07939475914968655      
Zeropoint     AB|PS|PS_z                6651.38441025339      All      1.6193874703297175        0.04686253396339879        2.2186447362777724        -0.41321518159487425      
Zeropoint     AB|PS|PS_g                3762.6817660030297    All      -0.5962246663719437       0.4025389673477875         0.024078373540325732      0.3264046810732104        
Zeropoint     AB|PS|PS_r                4778.350409722567     All      0.19723227417242128       0.5177899200043967         1.3723506861257135        0.16565787942384308       
Check         All|All|All               All                   All      1.0087503811135339        0.9967289128899992         0.07548183112180396       -0.0005473802475072786    
Lambda        AB|PS|PS_i                5787.617225542578     All      8.650049825099454e-05     -1.3457702646633575e-05    0.0015000453511075193     3.4380460001336175e-05    
Lambda        AB|PS|PS_z                6651.38441025339      All      -0.001583002225216382     -5.583721695712198e-05     -0.0027402235706468366    0.00037516429286014443    
Lambda        AB|PS|PS_g                3762.6817660030297    All      -0.0009003311714519475    0.0005545468639243657      0.00015330238077925523    0.0004807428213495346     
Lambda        AB|PS|PS_r                4778.350409722567     All      8.655367531871896e-05     -3.6481317825253037e-06    0.0007448546654433095     3.857746600810796e-06     
MWEBV         All|All|All               All                   All      -0.46535279661037254      -2.879059978341836         0.007653423511670286      -0.7858823005571219       
Redshift      All|All|All               All                   All      5.452554108415369         0.3625559111265275         -3.0321499317174836       -1.7932907941153542       
