#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                6051.681669544914    All      1.1648313479460841         -0.0015962919300172018    -0.15972838139356801      -0.3870718006928404        
Zeropoint     AB|PS|PS_i                7329.89715507113     All      0.6604735147278302         -0.12369305371624506      0.2531129319629158        -0.2441335820081941        
Zeropoint     AB|PS|PS_g                4765.358401786504    All      -1.1145398060729104        1.2115110060138434        -0.06749862202369597      0.7546591208043999         
Zeropoint     AB|PS|PS_z                8423.840376110948    All      0.2884799530832838         -0.08739194278142293      -0.024537846272104973     -0.12352885368207984       
Check         All|All|All               All                  All      0.9992450096842876         0.9988297175861582        0.0013480822735468315     -7.511557871449359e-05     
Lambda        AB|PS|PS_r                6051.681669544914    All      -0.00011842642199639457    -4.756008956576414e-05    -0.0005051802412631613    5.396219470935951e-07      
Lambda        AB|PS|PS_i                7329.89715507113     All      -0.00014765965427829687    -3.547831481193732e-05    -0.000516306126436326     1.3500781806053049e-05     
Lambda        AB|PS|PS_g                4765.358401786504    All      -0.0002613271090885853     2.551169240138103e-05     -0.0010302900574613158    4.7455721048132266e-05     
Lambda        AB|PS|PS_z                8423.840376110948    All      0.000195088153657993       -8.500448753395016e-05    -0.0002279636798693717    -0.00010140836004366356    
MWEBV         All|All|All               All                  All      -0.7038408194876804        -4.034626541636044        0.00709086111165918       -1.084630056734875         
Redshift      All|All|All               All                  All      4.6751215535852895         0.8677301167832496        3.922066912849606         -1.0651688175054215        
