#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                6051.681669544914    All      1.1443658567751045        0.0016080587164069016     -0.16580237644239215       -0.37963280900042523      
Zeropoint     AB|PS|PS_i                7329.89715507113     All      0.6764828081685997        -0.13569515141984567      0.21041034801760894        -0.2551634338469163       
Zeropoint     AB|PS|PS_g                4765.358401786504    All      -1.1095135386444377       1.2205301849795624        -0.007757149237269667      0.7586257310027669        
Zeropoint     AB|PS|PS_z                8423.840376110948    All      0.28819841002266233       -0.087830675471956        -0.019377855308078118      -0.12334978881818406      
Check         All|All|All               All                  All      0.9995335363219289        0.9986124168041677        0.017472967029869002       0.0004796993372413183     
Lambda        AB|PS|PS_r                6051.681669544914    All      -9.363945267965802e-05    -3.954807411756529e-05    -0.00037946588301134796    6.855220161361691e-07     
Lambda        AB|PS|PS_i                7329.89715507113     All      -0.0001503107884389378    -3.093643587440222e-05    -0.0004947577780636402     1.6805386635119502e-05    
Lambda        AB|PS|PS_g                4765.358401786504    All      -0.0002475776628508299    1.0003228864906292e-06    -0.0010852809779783857     3.2538922395531496e-05    
Lambda        AB|PS|PS_z                8423.840376110948    All      0.00017452145843732165    -7.218346514260081e-05    -0.00016806212312789876    -8.78597506346725e-05     
MWEBV         All|All|All               All                  All      -0.7053735286240292       -4.034620268501321        0.011146842751263986       -1.0839477597460483       
Redshift      All|All|All               All                  All      4.664862691427623         0.8715343807162768        3.865562026580421          -1.0631095482312145       
