#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                5431.737594405127     All      1.3941009315626443         0.41481394862454835        0.681992071628551         -0.28855181404722624       
Zeropoint     AB|PS|PS_r                4484.530429065823     All      -0.3867271012426683        0.44546337598578845        0.4808709677316114        0.2925308794161849         
Zeropoint     AB|PS|PS_z                6242.391877017494     All      0.6293553345350933         -0.09206989868957294       -0.6674447974789943       -0.26477692849488227       
Zeropoint     AB|PS|PS_g                3531.3150831714374    All      -0.6427591118913617        0.2304717310934734         -0.5023119605046089       0.26202413823964293        
Check         All|All|All               All                   All      0.9939700529637076         0.9986791570142373         -0.006893718623440792     0.0012262751137193106      
Lambda        AB|PS|PS_i                5431.737594405127     All      0.00047614104523172805     9.16331022377038e-05       -0.000260384756865296     -0.00013686666276370354    
Lambda        AB|PS|PS_r                4484.530429065823     All      -0.00028222705837358447    -0.00011072822150111838    -0.0015703906771275544    -1.421651006319507e-05     
Lambda        AB|PS|PS_z                6242.391877017494     All      -4.3765588696296814e-05    -0.00010984559634671209    -0.0019275303545973571    -0.0001075412593583887     
Lambda        AB|PS|PS_g                3531.3150831714374    All      -0.0014304807768516876     0.00042645735302778055     -0.0019208450324135387    0.0005191473486771379      
MWEBV         All|All|All               All                   All      -0.4351496504883059        -2.6095162640363156        -0.02298266628905088      -0.7092883514102962        
Redshift      All|All|All               All                   All      3.282984336574669          -0.8427682424891003        3.926732271580463         -1.1686613217776045        
