#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                5431.737594405127     All      1.4726803205071488        0.41053955157899225       0.6588884392686798        -0.3165710269538591       
Zeropoint     AB|PS|PS_r                4484.530429065823     All      -0.18781203772904154      0.3947150222943563        0.6552962964355825        0.21899109206354156       
Zeropoint     AB|PS|PS_z                6242.391877017494     All      0.4375974749806928        -0.055816145312448384     -0.7561119583495806       -0.19446285295994586      
Zeropoint     AB|PS|PS_g                3531.3150831714374    All      -0.7276841665898657       0.24901592095361025       -0.5621954508246665       0.293055150091367         
Check         All|All|All               All                   All      0.9947815911689344        0.9984543495145104        -0.004122673469984628     0.001012362241103626      
Lambda        AB|PS|PS_i                5431.737594405127     All      0.00017339841669172112    2.3209451356696732e-05    -0.000995417402946703     -9.334239398655465e-05    
Lambda        AB|PS|PS_r                4484.530429065823     All      -0.0002209711642061763    -0.0001796750303260231    -0.0016387691783431347    -5.967923242764047e-05    
Lambda        AB|PS|PS_z                6242.391877017494     All      0.00014948314698280045    -4.113274914032624e-05    -0.00068558098904836      -9.268419922565213e-05    
Lambda        AB|PS|PS_g                3531.3150831714374    All      -0.0012679485987400192    0.0003795690910747464     -0.0013944094467627627    0.00047442462397663423    
MWEBV         All|All|All               All                   All      -0.4752431925460745       -2.602664403622157        -0.07917104763454968      -0.6965041187628717       
Redshift      All|All|All               All                   All      3.1135078509234044        -0.38915016207461406      1.6221241230376837        -1.0685429993947413       
