#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_u            3014.8053135047962    All      -0.04139145612498629       0.018965540444071394       0.0459945727214965         0.0217127860038771         
Zeropoint     AB|SDSS|SDSS_g            3964.3111581697544    All      -0.9892953617170124        0.5274223142695433         -0.4673637573277876        0.4731885476327847         
Zeropoint     AB|SDSS|SDSS_i            6281.861016286719     All      1.0581048301886031         -0.01449594163460688       -0.2402707773442818        -0.3601035401691781        
Zeropoint     AB|SDSS|SDSS_r            5180.169579261075     All      0.8976810685049617         0.4669318679868084         0.617815403688042          -0.11273892189345001       
Zeropoint     AB|SDSS|SDSS_z            7468.60910089445      All      0.06829225884828889        0.0007745439571493762      0.0451459415339458         -0.019978084984035485      
Check         All|All|All               All                   All      0.9933913396998552         0.9995983250229656         0.0013213832714148444      0.0020807865899981626      
Lambda        AB|SDSS|SDSS_u            3014.8053135047962    All      -5.3149465829037984e-05    2.4663201913711192e-05     6.227794386751128e-05      2.81253244471004e-05       
Lambda        AB|SDSS|SDSS_g            3964.3111581697544    All      -0.0009950687711632105     0.0004246076602871035      -0.0009722414920229945     0.00041904864724533024     
Lambda        AB|SDSS|SDSS_i            6281.861016286719     All      -0.00029906121823486593    -2.1509527221529933e-05    -0.0003489548951942024     7.48354626618014e-05       
Lambda        AB|SDSS|SDSS_r            5180.169579261075     All      0.00019397771135874347     2.7253992288836133e-06     -0.0014989813832489        -0.00012918982463679452    
Lambda        AB|SDSS|SDSS_z            7468.60910089445      All      -1.1894580718442014e-05    -2.891311404465027e-07     -1.1048461936130045e-05    3.2872346230442007e-06     
MWEBV         All|All|All               All                   All      -0.6508178892100145        -3.225054176894915         0.14964910658897768        -0.8318352964437167        
Redshift      All|All|All               All                   All      5.3964461159273815         -0.1522388183300194        -1.6478284606201092        -1.8809242453949042        
