#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3014.8053135047962    All      -0.03502144823855576       0.015140519322365265       0.039136726683847156       0.018085895477722505      
Zeropoint     AB|SDSS|SDSS_g            3964.3111581697544    All      -0.999784154248877         0.5430223346223784         -0.41227981295682836       0.48414467573165143       
Zeropoint     AB|SDSS|SDSS_i            6281.861016286719     All      1.039171302990535          0.0021034886106718886      -0.13535500245798193       -0.34384737775785235      
Zeropoint     AB|SDSS|SDSS_r            5180.169579261075     All      0.9149360159407134         0.43316876799952553        0.4316936493958645         -0.13766293745079947      
Zeropoint     AB|SDSS|SDSS_z            7468.60910089445      All      0.07294961951468529        0.005753003024366876       0.0750287756142276         -0.018539959032954148     
Check         All|All|All               All                   All      0.9922513359585008         0.9991881135793079         -0.0017756637208710124     0.0021802969677680167     
Lambda        AB|SDSS|SDSS_u            3014.8053135047962    All      -5.3515419593742074e-05    2.2944848629527374e-05     4.143094776275005e-05      2.675449774161766e-05     
Lambda        AB|SDSS|SDSS_g            3964.3111581697544    All      -0.0010241625367613492     0.00040231569330543936     -0.0011090841226343577     0.0004151575587185283     
Lambda        AB|SDSS|SDSS_i            6281.861016286719     All      -0.00026773802173338745    -3.8084710480634825e-05    -0.0004519322371772238     5.4637978749014e-05       
Lambda        AB|SDSS|SDSS_r            5180.169579261075     All      0.0002036476943650378      -2.17178835413199e-05      -0.0016280901397095092     -0.0001460631684190751    
Lambda        AB|SDSS|SDSS_z            7468.60910089445      All      -1.0365103214959166e-05    4.958057198147235e-07      -5.7488191106769665e-06    3.2812119598081904e-06    
MWEBV         All|All|All               All                   All      -0.6700488995198266        -3.214257127351061         0.19583891540969622        -0.8199929304300021       
Redshift      All|All|All               All                   All      5.500269297766126          0.18381731890073638        0.6457480341582222         -1.7029265466402976       
