#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                3825.6371418544422    All      -0.5522600983991999        0.4790455032285479        0.16364529718300155       0.3432329014142733        
Zeropoint     AB|PS|PS_i                5884.452844491346     All      0.5383606907350194         0.2283337292011467        -1.5230602858918312       -0.1689531663521347       
Zeropoint     AB|PS|PS_r                4858.299463270455     All      -0.22822030152216055       0.43573049505916117       0.24705945859890766       0.22729574671315053       
Zeropoint     AB|PS|PS_z                6762.6721649774745    All      1.2375551457312286         -0.14143309078047395      1.1229843489359492        -0.3990682021848461       
Check         All|All|All               All                   All      0.9954354365448875         1.0016766367083818        0.010628818826027286      0.002507279590443001      
Lambda        AB|PS|PS_g                3825.6371418544422    All      -0.00097896602114578       0.0008436500635026265     0.00026126532746901984    0.0006053450926748086     
Lambda        AB|PS|PS_i                5884.452844491346     All      -0.0002624039303515284     8.265938989195563e-05     0.0007417139581060039     0.00014549776303062105    
Lambda        AB|PS|PS_r                4858.299463270455     All      -0.00016606764765922692    0.0002613921415446362     -3.219200947551125e-05    0.00013780113482270948    
Lambda        AB|PS|PS_z                6762.6721649774745    All      -0.0016137223132418866     0.00011432679855000904    -0.0017722529333862051    0.00048379493808403434    
MWEBV         All|All|All               All                   All      -0.45415027185972834       -2.975338118617721        0.026247353825720403      -0.820062527454029        
Redshift      All|All|All               All                   All      8.68768288707001           -0.2635089371185728       11.764252883489373        -2.390713087671185        
