#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                3825.6371418544422    All      -0.6119930596868978       0.5184595608664466         0.3042466020990897        0.38180273779834517       
Zeropoint     AB|PS|PS_i                5884.452844491346     All      0.6077649516170766        0.20270580040246955        -1.4594010454930888       -0.19706745747464505      
Zeropoint     AB|PS|PS_r                4858.299463270455     All      0.00029033188761357076    0.27773060228710733        0.02616832457134899       0.09153919572174873       
Zeropoint     AB|PS|PS_z                6762.6721649774745    All      1.0024057294786854        -0.00045966746178294215    1.1422692653723365        -0.2756920220144815       
Check         All|All|All               All                   All      0.9984679532964778        0.9984362960942406         0.01328314654968632       0.0005824540309673498     
Lambda        AB|PS|PS_g                3825.6371418544422    All      -0.0009513555223394436    0.0005904064577598628      -0.0005086099038090599    0.0004795056753346792     
Lambda        AB|PS|PS_i                5884.452844491346     All      -0.0004564086624158453    -5.0959149337153223e-05    0.0004615112142554569     0.00015266337115038754    
Lambda        AB|PS|PS_r                4858.299463270455     All      -7.214259185945763e-05    0.00013957946304949214     -5.876679522932709e-05    6.634234656759999e-05     
Lambda        AB|PS|PS_z                6762.6721649774745    All      -0.001438597266953653     -0.00019130021760114407    -0.0026297590382360213    0.0002889316159981022     
MWEBV         All|All|All               All                   All      -0.4700220557737169       -2.9443126528526875        0.11243646871712809       -0.8009403260145681       
Redshift      All|All|All               All                   All      8.31521277878435          1.8219437112904302         15.084590154293052        -1.441915379920447        
