#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                8231.53711470688     All      0.3323633584535014         -0.07662923572864244      0.07295173925972037       -0.1299668423138639       
Zeropoint     AB|PS|PS_r                5913.531126553503    All      1.0427350196365652         0.10958641974490035       -0.23059684985862472      -0.31424767697794675      
Zeropoint     AB|PS|PS_g                4656.572631697412    All      -1.0498593430121956        1.1020693756895739        0.08281382873996934       0.7046495808596565        
Zeropoint     AB|PS|PS_i                7162.566927319672    All      0.6737013003379609         -0.13678671707868517      0.0742964631984741        -0.260687101615132        
Check         All|All|All               All                  All      0.998940335415832          0.9982398426271466        -0.0005348186604609007    -0.0002520400472861839    
Lambda        AB|PS|PS_z                8231.53711470688     All      0.000185904145467268       -3.489757263429884e-05    0.00010315584536627489    -6.7319012145403e-05      
Lambda        AB|PS|PS_r                5913.531126553503    All      -0.00013074642171003297    -7.165424842670869e-05    -0.0005826157090332393    -6.751198323853265e-06    
Lambda        AB|PS|PS_g                4656.572631697412    All      -0.0002631403735013164     0.00011088497072155287    -0.0003988914285818264    0.00010403166726617558    
Lambda        AB|PS|PS_i                7162.566927319672    All      -0.00015899920563152304    -6.625862619223061e-05    -0.0005369624580362656    6.2464894750241145e-06    
MWEBV         All|All|All               All                  All      -0.6542083374416459        -3.918254533256338        0.02680039409387186       -1.0620112514084143       
Redshift      All|All|All               All                  All      3.908657297106601          0.2804880605787652        3.348584912705535         -1.0323821183997322       
