#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_z                8231.53711470688     All      0.34385517667922705        -0.08167365444577968       0.0742603286194298         -0.13529484237920028      
Zeropoint     AB|PS|PS_r                5913.531126553503    All      1.0412251585232257         0.1032582814156413         -0.2222734458297947        -0.31544571308998903      
Zeropoint     AB|PS|PS_g                4656.572631697412    All      -1.082511795218499         1.1114694530009572         0.014811945528988624       0.7153128614843413        
Zeropoint     AB|PS|PS_i                7162.566927319672    All      0.6968178857859373         -0.13468478504785608       0.1337598095783631         -0.26487868955099597      
Check         All|All|All               All                  All      0.9993864257698912         0.9983692949229628         0.0005586378969868189      -0.000306383535844057     
Lambda        AB|PS|PS_z                8231.53711470688     All      0.00017825697920522614     -2.7108457678873853e-05    0.00013216566955662816     -6.099633229799412e-05    
Lambda        AB|PS|PS_r                5913.531126553503    All      -8.680273218628116e-05     -8.149266299264864e-05     -0.0006101052857816952     -2.549653255975887e-05    
Lambda        AB|PS|PS_g                4656.572631697412    All      -0.0003081270424547263     0.000158431420526224       -0.00038084934192354866    0.00013497788375811863    
Lambda        AB|PS|PS_i                7162.566927319672    All      -0.00016519819998701526    -6.688652962163576e-05     -0.0005560514129875237     7.2093246860223936e-06    
MWEBV         All|All|All               All                  All      -0.657949840119477         -3.9178539354773           0.026727473537837047       -1.0606652871280584       
Redshift      All|All|All               All                  All      3.9125382532034987         0.15584353940418794        3.839156555707096          -1.05235513539656         
