#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                3839.3812303053405    All      -0.5881678649318147        0.5070504389729891         0.8944958650706436        0.3966658753809388        
Zeropoint     AB|PS|PS_i                5905.593490449374     All      0.7482828509150967         0.06003409639578905        -1.8006874512203286       -0.3045416727480432       
Zeropoint     AB|PS|PS_z                6786.967925645154     All      1.0423259719687186         0.05070830132716253        2.176619341315278         -0.225869974228457        
Zeropoint     AB|PS|PS_r                4875.753522573051     All      -0.20581002143645527       0.3811286291410809         -1.2605837889694271       0.13493116335137612       
Check         All|All|All               All                   All      0.9966309365155452         0.9989214658370216         0.009843966196165788      0.0011853917558146687     
Lambda        AB|PS|PS_g                3839.3812303053405    All      -0.0006043424319613081     0.00037703131167246627     -0.0003808620755310734    0.0003026695893439796     
Lambda        AB|PS|PS_i                5905.593490449374     All      -0.0001791102764986911     -1.973109124806428e-05     0.0003529753186973339     6.76667113720396e-05      
Lambda        AB|PS|PS_z                6786.967925645154     All      -0.0008179498271040147     -5.3643668502829734e-05    -0.002027127060080811     0.00015849829034857128    
Lambda        AB|PS|PS_r                4875.753522573051     All      -0.00023319520933537735    -0.00011842265496902044    -0.00225141378564841      -6.308506002197892e-05    
MWEBV         All|All|All               All                   All      -0.4827259985910137        -2.9613250367141575        0.13476689716021006       -0.801347222544689        
Redshift      All|All|All               All                   All      6.352577090999574          1.0927102044110626         14.448315635677922        -1.0685497213357125       
