#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                3839.3812303053405    All      -0.542892996250911         0.502137049420881         0.8278222474112638        0.3773425711945066        
Zeropoint     AB|PS|PS_i                5905.593490449374     All      0.6897391150137495         0.0600431866690343        -2.0942911162372595       -0.29857127402906186      
Zeropoint     AB|PS|PS_z                6786.967925645154     All      1.0798654408575297         0.05167543855471024       2.3358492835313776        -0.2306770848400719       
Zeropoint     AB|PS|PS_r                4875.753522573051     All      -0.23072754947495389       0.3851803686570676        -1.0610525052482194       0.15327157163290406       
Check         All|All|All               All                   All      0.9959840101454144         0.9990360433016932        0.008327909457162441      0.0013657839582768838     
Lambda        AB|PS|PS_g                3839.3812303053405    All      -0.0006265823929941046     0.0005136183448199402     0.0002732092972864796     0.0003835929679290855     
Lambda        AB|PS|PS_i                5905.593490449374     All      -0.0001141582313095542     -9.770016155996969e-06    0.0003370861858680963     4.904528424022359e-05     
Lambda        AB|PS|PS_z                6786.967925645154     All      -0.0009028878679773915     -4.780905526592717e-05    -0.001965041271296233     0.00019083653372764831    
Lambda        AB|PS|PS_r                4875.753522573051     All      -0.00020117302241165884    -6.486625594552817e-05    -0.0018902665898613675    -3.995431802764713e-05    
MWEBV         All|All|All               All                   All      -0.4773898078485974        -2.964762338558735        0.1240768485053994        -0.8046820854934522       
Redshift      All|All|All               All                   All      6.5758034593821            0.7427468389170855        15.898607275572479        -1.1905366201014935       
