#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                6389.260886696606     All      0.9295016995089785         0.07699834289951468        1.643177421063191         -0.20436092831394356      
Zeropoint     AB|PS|PS_r                4590.041033969953     All      0.2491826386293245         0.40917034262832885        1.7569240480864723        0.13051670963741077       
Zeropoint     AB|PS|PS_g                3614.3987407418263    All      -0.7350120918720566        0.36258233052706146        0.0676113384733723        0.3605397966677427        
Zeropoint     AB|PS|PS_i                5559.533788082772     All      0.5484397862086385         0.15068418555301832        -3.51062697293123         -0.2862252429795436       
Check         All|All|All               All                   All      0.992112032474885          0.9994352016079233         -0.04291416530819436      0.00047033501166632297    
Lambda        AB|PS|PS_z                6389.260886696606     All      0.0007430182074439683      0.00014425986712845732     0.0034350062145149045     -4.174673906415928e-05    
Lambda        AB|PS|PS_r                4590.041033969953     All      -9.494281253654677e-05     -0.00017410049293993752    -0.0012571023806792223    -8.188296630503069e-05    
Lambda        AB|PS|PS_g                3614.3987407418263    All      -0.0014777333337288067     0.0004575962703411443      -0.0030054836739976114    0.0004962795898150744     
Lambda        AB|PS|PS_i                5559.533788082772     All      -0.00010479034943877447    2.7086994444088255e-05     0.00017245713361515946    5.065275934467087e-05     
MWEBV         All|All|All               All                   All      -0.49473911729566744       -2.6998328446028452        -0.06272889275764637      -0.7210708747931517       
Redshift      All|All|All               All                   All      3.540573883188966          -0.4304615099302467        -9.568307105240192        -1.7204864711847296       
