#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_i                5867.102657643838    All      1.021171807785362         -0.028548615206425154     -2.632131116249214         -0.45938839932180114      
Zeropoint     AB|PS|PS_z                6742.732566725679    All      0.7165476810346619        0.023244279326917194      1.2391936381337016         -0.17053220628124677      
Zeropoint     AB|PS|PS_g                3814.35733029404     All      -0.7407833660512079       0.4213709568816171        -0.5005769386355903        0.35621344701620494       
Zeropoint     AB|PS|PS_r                4843.974868329092    All      0.0012676419916709536     0.5807456909213471        1.8922182679596173         0.27319607545281555       
Check         All|All|All               All                  All      0.9982037647604871        0.9968123119234562        -0.0012961487914853187     -0.0005110831340274791    
Lambda        AB|PS|PS_i                5867.102657643838    All      -9.825744990148426e-05    8.788448387373912e-05     0.0015545838451738964      0.00013000648878307727    
Lambda        AB|PS|PS_z                6742.732566725679    All      -0.0005825072535699002    2.0547862322308764e-06    -0.0008705309505500579     0.00015156328976442124    
Lambda        AB|PS|PS_g                3814.35733029404     All      -0.0011361833084368822    0.0006338302557345188     -0.0008263965496139777     0.000539673367060028      
Lambda        AB|PS|PS_r                4843.974868329092    All      -4.140494206316818e-05    1.1091523929851785e-05    -0.00018043439430990785    9.047867743505731e-06     
MWEBV         All|All|All               All                  All      -0.4765557801331157       -2.9475747176785916       0.036271059297634134       -0.8032735512774268       
Redshift      All|All|All               All                  All      4.600416492546346         -0.08809822180921856      -0.4190691482767239        -1.5459046213907086       
