#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                5867.102657643838    All      0.9560166042748277        0.0029305131523216232      -2.6359540299039086       -0.42808201733529044       
Zeropoint     AB|PS|PS_z                6742.732566725679    All      0.7732301266828379        0.012890561090372898       1.3052832586221363        -0.18941881405903332       
Zeropoint     AB|PS|PS_g                3814.35733029404     All      -0.7741736470905387       0.4550277541840231         -0.41443199413149223      0.38189713943926623        
Zeropoint     AB|PS|PS_r                4843.974868329092    All      0.03960634292822218       0.5250231901996472         1.7251441471903828        0.23510149688485585        
Check         All|All|All               All                  All      0.9946794267953492        0.9958720186263648         -0.019958618222881697     -0.0005021950702016886     
Lambda        AB|PS|PS_i                5867.102657643838    All      -3.712944095107199e-05    6.056356862098588e-05      0.0015238534101029108     9.982440610949729e-05      
Lambda        AB|PS|PS_z                6742.732566725679    All      -0.0005057469806150689    1.4076653546332543e-06     -0.0007602464166628423    0.00013127064719442762     
Lambda        AB|PS|PS_g                3814.35733029404     All      -0.0010784828379357672    0.0006028817771128016      -0.0007215000432191947    0.0005154785371750942      
Lambda        AB|PS|PS_r                4843.974868329092    All      -5.867006488912676e-05    -2.7818226170975124e-05    -0.0004614219243816263    -1.0541682385059016e-05    
MWEBV         All|All|All               All                  All      -0.475794854267658        -2.9474444632644037        0.0398740304620393        -0.8033181976623603        
Redshift      All|All|All               All                  All      4.470707970202374         0.19080056581817217        0.11534180251304704       -1.3889594714787996        
