#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3505.3291050465045    All      -0.25087128330898867       0.0909095525070569        -0.05580452771762889       0.10883896270968418       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5240.3520438353635    All      0.6260433359606032         0.22125040970859544       0.00799861871039198        -0.13149743175527168      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7415.858340230785     All      0.33399945889902644        -0.033775374629740895     0.05587350337366015        -0.11730298487510615      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4289.311777033199     All      -0.49680719790214906       0.3194629311872532        -0.12974364402393856       0.2600961725922224        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6065.382081626227     All      1.0485211133845476         -0.024386868373049708     0.046222752437219405       -0.34741871813475517      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4685.67130151255      All      -0.27022553786745884       0.42538547427719564       0.07643146499474174        0.22999417682375706       
Check         All|All|All                              All                   All      0.9906598891655806         0.9988461246773106        0.000978167774445815       0.002710177360530641      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3505.3291050465045    All      -0.0003566776033302919     0.00012233164085842304    9.457831914952243e-06      0.00015645112936842455    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5240.3520438353635    All      0.0001836959102957009      4.503645739415067e-05     -0.0008232581400462397     -8.190417527292674e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7415.858340230785     All      -2.5388789239951576e-05    -1.37773424730116e-05     -0.00018364734363734267    -4.413107267549176e-06    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4289.311777033199     All      -0.00038194292537189995    0.00013530539660722282    -0.0006617694671978775     0.00013895306350912494    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6065.382081626227     All      3.48073838645704e-05       -6.47346229490463e-06     -0.00011335700096045846    -1.850513201663122e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4685.67130151255      All      -9.257110093610516e-05     -9.92836974442738e-06     -0.00071957796352614       -5.192003195896871e-06    
MWEBV         All|All|All                              All                   All      -1.036105677752312         -3.9095291844441604       -0.02175346672206313       -0.9369393262647463       
Redshift      All|All|All                              All                   All      4.905321939770044          0.34496470124354417       7.366352912949847          -1.1567318858151043       
