#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3505.3291050465045    All      -0.2531110164288771        0.09223168001533111        -0.03867478150522645       0.1107635997973916        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5240.3520438353635    All      0.6351999123882819         0.22613008254719347        0.06264401330932151        -0.13045198697645322      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7415.858340230785     All      0.3658327250975412         -0.038966893737413244      0.052836395323561866       -0.12949870771193045      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4289.311777033199     All      -0.5215920057578451        0.32107525784681457        -0.10912480408335097       0.2696147118714139        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6065.382081626227     All      1.0911160374860993         -0.029952178270775676      0.040908277948250554       -0.36334325136090057      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4685.67130151255      All      -0.3230994925734002        0.4275367662259555         -0.008272393581530216      0.24413776575852966       
Check         All|All|All                              All                   All      0.9943461602118            0.9980547146271057         0.00031670741102629574     0.0012221313780509113     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3505.3291050465045    All      -0.0004048604827042169     0.00010766077782966451     -0.00024582616977486836    0.00015597494308622947    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5240.3520438353635    All      0.00019946313802694148     2.440903468365437e-05      -0.0006667862552075359     -8.677648869925719e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7415.858340230785     All      -6.480765215557915e-05     -1.5626559028567618e-05    -0.0002693935089545144     3.998105016365816e-06     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4289.311777033199     All      -0.00029624519682914786    0.00010634525240512333     -0.00044070915890747617    0.00011147012848988501    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6065.382081626227     All      -0.00014292112083767787    -2.5784909996789195e-05    -0.0004614892964561818     1.7560969780583638e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4685.67130151255      All      -7.418757637092343e-05     -7.317353560211016e-05     -0.0008184422437704832     -3.61930119308609e-05     
MWEBV         All|All|All                              All                   All      -1.0238849304892597        -3.9151867231398185        -0.01666477475195102       -0.9425357872285264       
Redshift      All|All|All                              All                   All      5.447854746214423          0.966374583527152          7.470206576321557          -1.1264045152218949       
