#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            6757.279027461733    All      0.9174882502184254        0.007238705206624729      0.7160463789180461        -0.26454436192183334       
Zeropoint     AB|SDSS|SDSS_r            5572.210395276672    All      0.7415293520121775        0.3080305315645404        -0.6684282538445954       -0.17103371049652988       
Zeropoint     AB|SDSS|SDSS_g            4264.334498643157    All      -0.6880183390016732       0.5974900809459172        -0.35327526467593967      0.4029673318198654         
Zeropoint     AB|SDSS|SDSS_u            3242.969028446957    All      -0.12177768552579515      0.09782560831386178       0.21532487021757377       0.08114097754379952        
Zeropoint     AB|SDSS|SDSS_z            8033.841485976685    All      0.14432131066301906       -0.009659638478431987     0.09947107082191271       -0.04571772392144918       
Check         All|All|All               All                  All      0.9935428883661537        1.000925287552512         0.009138801436997565      0.002812513023852506       
Lambda        AB|SDSS|SDSS_i            6757.279027461733    All      -0.0005428053841372937    -3.45458931002072e-05     -0.0008157521617257382    0.000129153565107707       
Lambda        AB|SDSS|SDSS_r            5572.210395276672    All      9.049974770096573e-05     -2.593308415959701e-06    -0.0004958594272516744    -5.2451399886125355e-05    
Lambda        AB|SDSS|SDSS_g            4264.334498643157    All      -0.0005368212604029218    0.00023916405073775573    -0.0014468272282498545    0.00018819869083727933     
Lambda        AB|SDSS|SDSS_u            3242.969028446957    All      -8.37036565777153e-05     6.939903154023332e-05     0.0001640577843651182     5.719172787490874e-05      
Lambda        AB|SDSS|SDSS_z            8033.841485976685    All      1.0655973970425838e-05    1.290330947697912e-06     3.284101152098367e-05     -1.585154542134581e-06     
MWEBV         All|All|All               All                  All      -0.8120607474018411       -3.4947368799556955       0.32282937501428205       -0.8594294814908462        
Redshift      All|All|All               All                  All      3.0392034964141637        0.4585913902223737        -1.5973959650257403       -0.9118747079479859        
