#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            6757.279027461733    All      0.8822865047372691        0.025105641688050184       0.7662229149739685        -0.24501899794716134       
Zeropoint     AB|SDSS|SDSS_r            5572.210395276672    All      0.781488591473462         0.2942611411357987         -0.6765802294380618       -0.18889867810119795       
Zeropoint     AB|SDSS|SDSS_g            4264.334498643157    All      -0.7100168104461586       0.6067943654342045         -0.3921670765649088       0.4114281063162771         
Zeropoint     AB|SDSS|SDSS_u            3242.969028446957    All      -0.1016563939628233       0.08071196381731482        0.19809019650969262       0.06824322954461434        
Zeropoint     AB|SDSS|SDSS_z            8033.841485976685    All      0.14281204020843533       -0.006022999188637357      0.11638397125841582       -0.04328678675396408       
Check         All|All|All               All                  All      0.9949139320101846        1.0008501128867309         0.011949776739106355      0.0024668730585680476      
Lambda        AB|SDSS|SDSS_i            6757.279027461733    All      -0.0005784790661553424    -3.949022387095261e-05     -0.0008937379641405297    0.00013568297758864405     
Lambda        AB|SDSS|SDSS_r            5572.210395276672    All      7.268395247744413e-05     -3.6033509260254675e-06    -0.0005053817841573998    -4.7402152388610226e-05    
Lambda        AB|SDSS|SDSS_g            4264.334498643157    All      -0.0004981731671722036    0.00017783119534800103     -0.001433685677441152     0.00015621805365171557     
Lambda        AB|SDSS|SDSS_u            3242.969028446957    All      -6.282665050367894e-05    5.4044841687454786e-05     0.00013977329210418664    4.430633003563756e-05      
Lambda        AB|SDSS|SDSS_z            8033.841485976685    All      1.9173862889807205e-05    2.097193414324834e-06      5.965592821351353e-05     -2.9002629675019606e-06    
MWEBV         All|All|All               All                  All      -0.82343237276107         -3.4873781893724143        0.36942576271348226       -0.851249018605732         
Redshift      All|All|All               All                  All      3.3300192056480142        0.6710126566414232         -0.10086196763869903      -0.8706269181019848        
