#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            5532.637373040565     All      0.7970163410241028        0.2933525502923473         -1.3412582732803213       -0.22391406324793472       
Zeropoint     AB|SDSS|SDSS_u            3219.9379373053657    All      -0.06964959332815832      0.04749222535398445        0.12547154743778877       0.04375616308831265        
Zeropoint     AB|SDSS|SDSS_g            4234.049819500378     All      -0.909573236344565        0.7464455458014996         0.11512356382680222       0.5445572346548327         
Zeropoint     AB|SDSS|SDSS_z            7976.786320214206     All      0.12522921794024688       -0.015348992581287746      0.1116733059572883        -0.04080748130468603       
Zeropoint     AB|SDSS|SDSS_i            6709.289821340587     All      1.0529108214887772        -0.07158247171243914       1.0040503389893152        -0.32147830513344633       
Check         All|All|All               All                   All      0.9959335507804038        1.0003588571541044         0.015060482930873142      0.002113548057078307       
Lambda        AB|SDSS|SDSS_r            5532.637373040565     All      0.00012165186973969318    3.9452078441523846e-05     -0.0014408064736945786    -9.107175185482952e-05     
Lambda        AB|SDSS|SDSS_u            3219.9379373053657    All      -6.352156671590138e-05    3.786115099617069e-05      8.727453272849553e-05     3.691834810940585e-05      
Lambda        AB|SDSS|SDSS_g            4234.049819500378     All      -0.000790549370431707     0.0005080328658111601      -0.0005778831470136829    0.00039720268570097477     
Lambda        AB|SDSS|SDSS_z            7976.786320214206     All      1.5164793109951922e-05    -1.2223802322488848e-07    5.033260105036381e-05     -2.7333761528589476e-06    
Lambda        AB|SDSS|SDSS_i            6709.289821340587     All      -0.0005485599610386896    2.1069685493629455e-05     -0.0009759189866663342    0.00014199633399316982     
MWEBV         All|All|All               All                   All      -0.7039783679036922       -3.5577212719346107        0.1319055684474324        -0.9236716094962932        
Redshift      All|All|All               All                   All      2.252451640550135         -0.5391884138015612        -1.2560713707363225       -0.9653817042809681        
