#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5532.637373040565     All      0.8694003100111276        0.3414737410645685        -0.8463372491029245       -0.2097311961151986       
Zeropoint     AB|SDSS|SDSS_u            3219.9379373053657    All      -0.11848791474998156      0.07479333511763997       0.18682699579020468       0.07129529260289237       
Zeropoint     AB|SDSS|SDSS_g            4234.049819500378     All      -0.749493315615311        0.6179838739884147        -0.22857526994755212      0.43523204482765837       
Zeropoint     AB|SDSS|SDSS_z            7976.786320214206     All      0.10692777976160536       -0.00756616018300349      0.11267820657832894       -0.03226613213139342      
Zeropoint     AB|SDSS|SDSS_i            6709.289821340587     All      0.8853284309993212        -0.02616405210691397      0.7904258710658619        -0.2616300126287336       
Check         All|All|All               All                   All      0.9936752904067613        1.0005207378807057        0.015018554383918858      0.0028999965552251594     
Lambda        AB|SDSS|SDSS_r            5532.637373040565     All      1.8310592039703943e-05    7.817531568808078e-06     -0.0013329413910526243    -6.290098731110926e-05    
Lambda        AB|SDSS|SDSS_u            3219.9379373053657    All      -7.444840022903286e-05    4.902802162363972e-05     0.00015644335497840117    4.720168126537901e-05     
Lambda        AB|SDSS|SDSS_g            4234.049819500378     All      -0.0005717674888405616    0.00027785667829494575    -0.0010435049395252918    0.00023018371023470437    
Lambda        AB|SDSS|SDSS_z            7976.786320214206     All      1.2609139270741892e-05    -2.39446393964664e-07     3.434522316163546e-05     -2.652537489108305e-06    
Lambda        AB|SDSS|SDSS_i            6709.289821340587     All      -0.0005101807229088034    4.254996086858559e-06     -0.0008667554040524891    0.00012888932529005567    
MWEBV         All|All|All               All                   All      -0.8171886873344234       -3.4827895510714413       0.2987224237729693        -0.8549432871922219       
Redshift      All|All|All               All                   All      2.826683034504594         0.051988165318128665      -0.3027250052753683       -0.9173186302635802       
