#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                5113.371128104294     All      0.30500996921571816        0.4048184769789742         0.30383949736387805        0.04606987586387862        
Zeropoint     AB|PS|PS_g                4026.4917088074026    All      -0.6717935759439674        0.5929828279127136         0.912757335811154          0.4527114523983092         
Zeropoint     AB|PS|PS_i                6193.399873184845     All      1.1843289590630386         0.020785438160153547       -1.1219218092288763        -0.42907062174828703       
Zeropoint     AB|PS|PS_z                7117.727686129948     All      0.1805757783416324         -0.01989243803262042       -0.09135205725216977       -0.06937571603185672       
Check         All|All|All               All                   All      0.9981211306764218         0.998694305019221          0.003322966693986018       0.0003349904820440508      
Lambda        AB|PS|PS_r                5113.371128104294     All      -0.0002415216730026988     -1.7201246578710838e-06    -0.0021959812664584496     -1.9885304612371304e-05    
Lambda        AB|PS|PS_g                4026.4917088074026    All      -0.0005413081728099073     0.0003963019033571838      -0.00046065874790977433    0.0002848533640727857      
Lambda        AB|PS|PS_i                6193.399873184845     All      -0.0007828422968480062     -8.46208620993546e-05      -0.0021655465571994124     0.00013079529524831664     
Lambda        AB|PS|PS_z                7117.727686129948     All      -0.00039971416555154444    -4.9597373367002185e-05    -0.001781544818405222      3.454239480880354e-05      
MWEBV         All|All|All               All                   All      -0.5146686897867032        -3.188351093985098         0.13615248443610284        -0.864830460531156         
Redshift      All|All|All               All                   All      7.642032742847508          -0.14326701925231333       6.816998070995206          -2.2317169467014586        
