#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_r                5113.371128104294     All      0.39854020706510646        0.4863548013430474         1.860839938391497          0.11164484229237007       
Zeropoint     AB|PS|PS_g                4026.4917088074026    All      -0.9475330860472941        0.5674368259043661         -0.932600924536079         0.45185784537140633       
Zeropoint     AB|PS|PS_i                6193.399873184845     All      1.2272085189531179         -0.04112242046883097       -1.1837881141083357        -0.4659641404087267       
Zeropoint     AB|PS|PS_z                7117.727686129948     All      0.3157694901178848         -0.016257187922796845      0.2184236044967572         -0.09840477010574135      
Check         All|All|All               All                   All      0.993985130088815          0.9964120188557857         -0.03712549575616045       -0.0008662228506916142    
Lambda        AB|PS|PS_r                5113.371128104294     All      -0.0002530812744956924     -0.00012090061629833966    -0.0030056860097485653     -9.107437300918589e-05    
Lambda        AB|PS|PS_g                4026.4917088074026    All      -0.00071264056137034       0.0003968207785786103      -0.0010171083922491577     0.0003159991824790931     
Lambda        AB|PS|PS_i                6193.399873184845     All      -0.0002962283681230972     1.5403914206857702e-05     0.00031859725195011675     0.0001157264188427104     
Lambda        AB|PS|PS_z                7117.727686129948     All      -0.00021322213258850747    4.291000514064696e-06      -0.00029765916993749455    5.7568021765842155e-05    
MWEBV         All|All|All               All                   All      -0.533828240233154         -3.1879372456906196        0.08292501546083911        -0.8608300580909873       
Redshift      All|All|All               All                   All      7.807749508923422          -0.3167871226443353        2.5940641758159786         -2.530667700156667        
