#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            6816.729617311131     All      0.8631655159861568        -0.09187156440209066       0.24015336209313537       -0.30037005530341626       
Zeropoint     AB|SDSS|SDSS_u            3271.5006934590083    All      -0.0995073095575087       0.08799504358734112        0.16367899649931936       0.06837992692679368        
Zeropoint     AB|SDSS|SDSS_g            4301.852144463193     All      -0.7903517739695555       0.6140351728591398         -0.4279087932409384       0.43835942741195005        
Zeropoint     AB|SDSS|SDSS_r            5621.2347427126515    All      0.8624870477462117        0.40898051963207394        -0.038914517509563366     -0.14945857231692117       
Zeropoint     AB|SDSS|SDSS_z            8104.52328158655      All      0.15864522686937763       -0.01771059711526135       0.07087882091356752       -0.05428189756334861       
Check         All|All|All               All                   All      0.9944387070746821        1.0014285745612028         0.007887868755520458      0.002628829155057688       
Lambda        AB|SDSS|SDSS_i            6816.729617311131     All      -0.0006297173647662792    -1.0270740045064244e-05    -0.0008241721734587087    0.00016499512604474653     
Lambda        AB|SDSS|SDSS_u            3271.5006934590083    All      -9.054289646780571e-05    8.004896241904442e-05      0.00014753722872276224    6.215128964881712e-05      
Lambda        AB|SDSS|SDSS_g            4301.852144463193     All      -0.0005600981731129018    0.00028770415353219353     -0.0008743393190816448    0.00023713936154101306     
Lambda        AB|SDSS|SDSS_r            5621.2347427126515    All      -8.317471418590525e-05    -0.00011389855679311503    -0.0007613197189244146    -4.3981968762167624e-05    
Lambda        AB|SDSS|SDSS_z            8104.52328158655      All      2.2791612805820854e-05    3.4039440066778626e-06     5.319009240636039e-05     -3.941572032401178e-06     
MWEBV         All|All|All               All                   All      -0.7770271890484426       -3.567121447605892         0.2201476877521306        -0.8990013111841718        
Redshift      All|All|All               All                   All      5.009636362951346         1.0198146796621899         1.9799382348825034        -1.2112606335864018        
