#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            6816.729617311131     All      0.7451507279965067         -0.09561812899629984       -0.02240601094922745      -0.27486595455793184       
Zeropoint     AB|SDSS|SDSS_u            3271.5006934590083    All      -0.06807563670057999       0.06679732937602267        0.18217748499806952       0.05206230668447498        
Zeropoint     AB|SDSS|SDSS_g            4301.852144463193     All      -0.8182655560489636        0.5982087849721651         -0.5542427777118775       0.4366589838679484         
Zeropoint     AB|SDSS|SDSS_r            5621.2347427126515    All      1.0276144174400978         0.442270302138148          0.3481123952039811        -0.17513117822768876       
Zeropoint     AB|SDSS|SDSS_z            8104.52328158655      All      0.11360606986948113        -0.013897633081150218      0.0494724065737806        -0.039324424511408274      
Check         All|All|All               All                   All      1.0000300225565422         0.9977606544088857         0.0031134981147262764     -0.0006002667446055043     
Lambda        AB|SDSS|SDSS_i            6816.729617311131     All      -0.0006157985662283397     -5.530829970792802e-05     -0.001054006903986985     0.00013553463214143152     
Lambda        AB|SDSS|SDSS_u            3271.5006934590083    All      -4.289008629806664e-05     6.24385198265151e-05       0.00022723524363953406    4.4449457492898336e-05     
Lambda        AB|SDSS|SDSS_g            4301.852144463193     All      -0.0004662019153742831     0.00021566459647928763     -0.0007960903346462674    0.0001865805003280235      
Lambda        AB|SDSS|SDSS_r            5621.2347427126515    All      -0.00018368490819392164    -0.00011003423005215873    -0.0009663563335450913    -1.9133595945900526e-05    
Lambda        AB|SDSS|SDSS_z            8104.52328158655      All      3.8142587261871465e-05     -2.276729319872857e-06     5.3732901791563e-05       -1.0768048546026122e-05    
MWEBV         All|All|All               All                   All      -0.7599107989755596        -3.5967751751314836        0.1339278629107099        -0.9180834719665006        
Redshift      All|All|All               All                   All      4.978546378838403          1.4247108791284546         3.027234313017546         -1.0225095761649983        
