#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                3435.0805165837173    All      -0.4360214689130873        0.13423961705392173       -0.2078090685701861       0.17647923243416727       
Zeropoint     AB|PS|PS_i                5283.713161324421     All      0.9938277882626988         0.31540183726868065       -0.5905213248647012       -0.2473379063519486       
Zeropoint     AB|PS|PS_z                6072.275684435786     All      0.6613763983525507         0.034998719972989534      -0.05079017314507661      -0.20629834921838328      
Zeropoint     AB|PS|PS_r                4362.3190624712       All      -0.2261613089675768        0.5141106835559128        0.8475736077670382        0.27895425953992636       
Check         All|All|All               All                   All      0.9930214087345854         0.9987508578515047        -0.0015469588129257694    0.0017972364037617261     
Lambda        AB|PS|PS_g                3435.0805165837173    All      -0.0005850759331651327     0.00012660118595507382    -0.0008339501121281057    0.00019460128786926911    
Lambda        AB|PS|PS_i                5283.713161324421     All      -8.037154934314804e-05     3.2973392371963734e-05    -0.0021861810360034534    -6.063904241607861e-05    
Lambda        AB|PS|PS_z                6072.275684435786     All      0.0002657308676457568      5.93290217851341e-05      0.0014584494410235572     -2.147971478956131e-06    
Lambda        AB|PS|PS_r                4362.3190624712       All      -0.00016914470506623479    -0.0001200503696424272    -0.0013309479232727944    -4.340245278976068e-05    
MWEBV         All|All|All               All                   All      -0.5047367142340997        -2.5021498761040206       -0.1637395445805656       -0.6579301236082926       
Redshift      All|All|All               All                   All      0.9309708506664722         -0.019863545370846225     -3.831609289817728        -0.48070516897144866      
