#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_g                3435.0805165837173    All      -0.509243641956423         0.14947741549455884        -0.29641722633025774       0.20133938027483275       
Zeropoint     AB|PS|PS_i                5283.713161324421     All      1.007059482354524          0.30080965718131125        -0.32609520332635006       -0.24460093421137552      
Zeropoint     AB|PS|PS_z                6072.275684435786     All      0.8971228073559069         0.014990350828014698       -0.02654822471154414       -0.288524287724226        
Zeropoint     AB|PS|PS_r                4362.3190624712       All      -0.40508383762558164       0.5340341202858312         0.6467696134231987         0.33476397229654437       
Check         All|All|All               All                   All      0.9898548101284262         0.999311543789716          -0.0022910409449532487     0.002978130635775622      
Lambda        AB|PS|PS_g                3435.0805165837173    All      -0.0006773493277995612     0.00018158405141109385     -0.0005708819325153971     0.0002543070209954546     
Lambda        AB|PS|PS_i                5283.713161324421     All      0.0002930238062997081      8.462162418469814e-05      -0.000570709538299938      -9.335159246322523e-05    
Lambda        AB|PS|PS_z                6072.275684435786     All      -0.0001966317092764953     -1.2289178687810395e-05    -0.00016292785001653095    5.277570525616292e-05     
Lambda        AB|PS|PS_r                4362.3190624712       All      -0.00022930513960897473    -0.00012160592800644144    -0.0015900983161687898     -3.587760837543678e-05    
MWEBV         All|All|All               All                   All      -0.4607128745794231        -2.5084181151285634        -0.11603379471145474       -0.6721830196822833       
Redshift      All|All|All               All                   All      1.8982420387041503         0.08094372179776599        -1.2777656701876974        -0.6489746624501951       
